==101352== NVPROF is profiling process 101352, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==101352== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Profiling result:
==101352== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         69                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
         69                             flop_count_sp   Floating Point Operations(Single Precision)           0           0           0
         69                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
         69                                inst_fp_64                       FP Instructions(Double)           0           0           0
         69                                inst_fp_32                       FP Instructions(Single)         512    16908544     2822535
         69                                inst_fp_16                         HP Instructions(Half)           0           0           0
         69                              inst_integer                          Integer Instructions       10496   346620286    58413150
         69                  gld_requested_throughput              Requested Global Load Throughput  1.2548GB/s  243.70GB/s  213.44GB/s
         69                  gst_requested_throughput             Requested Global Store Throughput  856.63MB/s  154.98GB/s  138.68GB/s
         69                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         69                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         69                            gld_efficiency                 Global Memory Load Efficiency      75.00%      95.43%      81.95%
         69                            gld_throughput                        Global Load Throughput  1.6731GB/s  264.88GB/s  254.56GB/s
         69                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
         69                            gst_throughput                       Global Store Throughput  856.63MB/s  154.98GB/s  138.68GB/s
         69                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
         69                           global_hit_rate             Global Hit Rate in unified l1/tex      45.89%      49.94%      48.46%
         69                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
         69                  l2_tex_read_transactions               L2 Transactions (Texture Reads)         128     3479053      647598
         69                 l2_tex_write_transactions              L2 Transactions (Texture Writes)          64     2113568      352816
         69                  shared_load_transactions                      Shared Load Transactions           0           0           0
