Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Shared Memory Load Throughput(bytes/sec),Floating Point Operations(Half Precision),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorAddConstantOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorAddConstantOp<long>, long, unsigned int>, long, long)",141,1850,10,0,0,25,0,2,0,0,0,0,0,25,0,1,0,3000000,3000000,16000000,1,16000000,0,0,0,0,2059,0,0
"cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",74,1956,16,0,0,83.651,0,0,0,0,0,0,0,0,0,0,0,0,19824000000,0,1319,23185000000,48.984,0,0,0,505912,0,0
"void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",1,11520,23,0,0,99.958,0,85781,0,1897074,0,0,0,98.147,51.003,80750,0,158745000000,158326000000,161742000000,79078,158393000000,50.506,0,1736661,0,6391585,0,0
"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",2,21489,32,8704,0,100,0,80640,0,4157440,132026000000,0,132026000000,31.579,54.353,116573,0,132026000000,234715000000,418086000000,143360,234715000000,52.05,100,2437120,0,35266560,20160,20160
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",63,24792,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,466243000000,0,363436,466243000000,50,0,0,0,37798136,0,0
"void kernelPointwiseApply2<ThresholdUpdateOutput<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<ThresholdUpdateOutput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",9,43812,9,0,0,100,0,297587,0,0,0,0,0,100,50,297587,0,211283000000,211283000000,211283000000,297587,211283000000,50,0,2380696,0,42852728,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",20,50063,11,0,0,100,0,445106,0,1780424,0,0,0,100,50,445106,0,283119000000,141559000000,283119000000,222553,141559000000,50,0,1780424,0,40950093,0,0
"void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=1>(OffsetInfo<ThresholdUpdateOutputIP<float>, float, unsigned int>, float, float)",65,50457,8,0,0,100,0,340685,0,0,0,0,0,100,50,340685,0,212975000000,212975000000,212975000000,340685,212975000000,50,0,2725484,0,35431650,0,0
"void cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(cudnnTensorStruct, float const *, cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float const , float, float, float*, float const *, float const *, float const *, float, float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnFwPersistentState*, int, float, float, float, int, float, float, cudnnStatus_t*, bool)",118,51057,37,144,10170,80.071,0,303722,0,16661307,312232000000,0,184939000000,35.268,60.485,233178,0,123998000000,122311000000,349057000000,254656,151666000000,54.996,91.545,13768072,0,114727543,77629,131063
