==1388673== NVPROF is profiling process 1388673, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset coco --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==1388673== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1388673== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset coco --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==1388673== Profiling result:
==1388673== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void cudnn::detail::wgrad_alg1_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, int, float, float, int, int, int*, kernel_grad_params, int, int)
          3                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          3                             flop_count_sp   Floating Point Operations(Single Precision)  2.0616e+10  2.0616e+10  2.0616e+10
          3                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          3                                inst_fp_64                       FP Instructions(Double)           0           0           0
          3                                inst_fp_32                       FP Instructions(Single)  1.0335e+10  1.0335e+10  1.0335e+10
          3                                inst_fp_16                         HP Instructions(Half)           0           0           0
          3                              inst_integer                          Integer Instructions  2782596096  2959543296  2868710400
          3                  gld_requested_throughput              Requested Global Load Throughput  21.077GB/s  39.984GB/s  30.265GB/s
          3                  gst_requested_throughput             Requested Global Store Throughput  6.0799GB/s  6.1177GB/s  6.0943GB/s
          3                    shared_load_throughput                 Shared Memory Load Throughput  2489.7GB/s  2505.2GB/s  2495.6GB/s
          3                   shared_store_throughput                Shared Memory Store Throughput  259.34GB/s  260.96GB/s  259.96GB/s
          3                            gld_efficiency                 Global Memory Load Efficiency      12.50%      14.15%      13.05%
          3                            gld_throughput                        Global Load Throughput  168.62GB/s  282.66GB/s  229.70GB/s
          3                            gst_efficiency                Global Memory Store Efficiency      25.00%      25.00%      25.00%
          3                            gst_throughput                       Global Store Throughput  24.319GB/s  24.471GB/s  24.377GB/s
          3                         shared_efficiency                      Shared Memory Efficiency     130.19%     130.19%     130.19%
          3                           global_hit_rate             Global Hit Rate in unified l1/tex      50.51%      63.72%      56.15%
          3                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          3                  l2_tex_read_transactions               L2 Transactions (Texture Reads)    41038314    43878362    42747636
          3                 l2_tex_write_transactions              L2 Transactions (Texture Writes)     2359296     2359296     2359296
          3                  shared_load_transactions                      Shared Load Transactions    60383232    60383232    60383232
          3                 shared_store_transactions                     Shared Store Transactions     6289920     6289920     6289920
          3                        tex_cache_hit_rate                        Unified Cache Hit Rate      41.49%      46.28%      43.49%
          3                    tex_cache_transactions                    Unified Cache Transactions    44997120    45199872    45132288
          3                    dram_read_transactions               Device Memory Read Transactions      914613      924359      919935
