Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",1,1152,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,19000000,0,0,0,0,2058,0,0,0,0,0,0,28,36
"void kernelPointwiseApply2<TensorDivConstantOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",1,1248,8,0,0,12.5,0,1,0,1,0,0,1,1000000,1000000,15000000,1,15000000,0,0,1,0,2064,0,0,0,0,0,12.5,28,44
"cudnn::maxwell::gemm::computeWgradOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",76,3088,14,0,0,10.675,0,0,0,0,0,0,0,0,538000000,0,239,3691000000,1.588,0,0,0,36809,0,0,0,0,0,0,58,35
"cudnn::maxwell::gemm::computeBOffsetsKernel(cudnn::maxwell::gemm::ComputeBOffsetsParams)",144,3112,12,0,0,58.432,0,0,0,0,0,0,0,0,89000000,0,8,138000000,38.571,0,0,0,3152,0,0,0,0,0,0,23,35
"cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",68,3179,16,0,0,83.513,0,0,0,0,0,0,0,0,10971000000,0,936,12856000000,48.908,0,0,0,350304,0,0,0,0,0,0,423,47
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",425,5839,10,0,0,99.971,0,32180,0,128718,50,0,32179,159814000000,79907000000,159814000000,16089,79907000000,50,0,128718,0,2575407,0,0,0,0,0,99.971,14942,32208
"void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float)",83,8034,8,0,0,100,0,0,0,0,0,0,0,0,430997000000,0,107781,430997000000,50,0,862253,0,13797628,0,0,0,0,0,0,98571,28
"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)",3,14944,40,8704,0,100,0,54528,0,2890410,50,0,54528,133138000000,243048000000,266277000000,99669,243048000000,50,100,1694378,0,24668160,14016,14016,0,136714000000,136714000000,50,88963,54297
"void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",5,20928,8,0,0,100,0,182318,0,0,47.765,0,181140,213334000000,142023000000,269120000000,95695,142023000000,48.551,0,765561,0,22615677,0,0,0,0,0,77.672,95047,181180
"void cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(float, float, float, float, cudnnTensorStruct, float const *, cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, float const , cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float*, float const *, float const , float const , float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnBwPersistentState*, int, float, float, float, int, float, cudnnStatus_t*, bool)",118,64548,39,272,20341,80.473,0,556097,0,18779034,59.09,0,461820,214502000000,106176000000,579996000000,253149,130999000000,55.908,93.116,16659797,0,118026863,129585,117503,0,243221000000,268229000000,36.711,206033,410413
"void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int)",1,64578,12,512,0,12.5,0,87402,0,701610,48.734,0,106122,39908000000,1000000,48476000000,21,9000000,48.729,59.688,701631,0,4443495,252,168,0,306000000,460000000,82.325,38130,87376
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",25,66449,11,0,0,100,0,639347,0,2557390,50,0,639347,305867000000,152933000000,305867000000,319673,152933000000,50,0,2557390,0,66492519,0,0,0,0,0,100,318429,639377
"void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",69,72263,10,0,0,100,0,665621,0,0,48.429,0,661174,242053000000,157196000000,294418000000,352816,157196000000,48.981,0,2822535,0,65598779,0,0,0,0,0,80.799,353635,661202
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",2,78530,8,0,0,100,0,567360,0,0,50,0,567360,230517000000,230517000000,461034000000,567360,230517000000,50,0,0,0,149783040,0,0,0,0,0,50,560890,567383
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=-1>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",63,82210,27,0,0,100,0,334263,0,0,49.776,0,381955,155740000000,155740000000,356307000000,334263,155740000000,49.888,0,5348215,0,291791519,0,0,0,0,0,43.322,329404,349322
"void cunn_SpatialClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, int, long)",1,86627,32,0,0,81.703,0,132100,0,1599494,40.691,0,156388,24848000000,24089000000,57261000000,80526,29484000000,42.821,0,1077252,0,12777520,0,0,0,0,0,43.395,81450,131666
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",3,148740,11,0,0,100,0,1466496,0,5865984,50,0,1466496,311002000000,155500000000,311002000000,733248,155500000000,50,0,5865984,0,152515584,0,0,0,0,0,100,730224,1466503
"void cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int, int, int)",1,190469,107,10496,0,0,0,1392640,0,571506944,0,0,752622,0,0,0,0,0,73.989,130.189,286294272,0,45695488,174080,1671168,0,1215146000000,126577000000,0,295487,570114
"void cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=14>(float, float, float, float, cudnnTensorStruct, float const *, cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=14>, float const , cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=14>, cudnnTensorStruct*, float const *, float*, float const *, float const , float const , float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnBwPersistentState*, int, float, float, float, int, float, cudnnStatus_t*, bool)",23,243576,64,272,28672,81.908,0,1913599,0,60521454,54.082,50,2005095,233892000000,116660000000,571397000000,1074276,142366000000,52.274,94.685,47338704,0,336644387,170987,160752,0,86019000000,91507000000,40.88,879991,1783820
"void spatialDepthwiseConvolutionAccGradParameters<float, float, unsigned int>(THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, THCDeviceTensor<float, int=4, int, DefaultPtrTraits>, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",63,245670,25,0,256,12.5,0,5197001,0,41796969,47.885,0,6590634,754717000000,114000000,961267000000,6313,922000000,47.853,24.844,23521595,0,821385357,18939,107323,0,62745000000,11072000000,78.766,42138,680172
"maxwell_scudnn_128x128_stridedB_interior_nn",67,310271,124,34816,0,80.503,0,2744716,0,2835370534,60.707,0,3397690,310561000000,33175000000,994715000000,353524,40633000000,59.531,182.313,1418963058,0,99913985,850138,5735546,0,2663911000000,394213000000,31.141,299132,701323
"maxwell_scudnn_128x32_stridedB_splitK_large_nn",1,319817,90,10240,0,0,0,1112296,0,1087410176,65.399,0,1208049,103204000000,0,360678000000,0,0,66.126,177.226,544264320,0,155729664,733992,3364644,0,1401059000000,305638000000,28.614,38745,744366
"maxwell_scudnn_128x64_stridedB_interior_nn",1,325257,120,10240,0,82.042,0,3322128,0,2174820352,68.4,0,3043542,348378000000,111373000000,999987000000,1288094,135750000000,64.182,167.163,1091773568,0,172816768,1342900,4760064,0,2006626000000,566105000000,34.838,1077365,2141563
