Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",10,2089,8,0,0,47.368,0,0,0,0,0,0,0,0,0,0,0,0,137000000,19,0,290000000,0,14,37,0,0,0,1148,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",5,2657,8,0,0,100,0,126,0,0,0,0,0,24.802,74.603,32,0,375000000,3010000000,250,1517000000,3010000000,25,59,53,0,0,0,23096,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17div_constant_implIfEEvRNS_14TensorIteratorET_EUlfE_EEvS5_RKS6_EUliE_EEviT1_",5,2675,8,0,0,99.998,0,7394,0,59151,0,0,0,99.998,50,7394,0,88442000000,88442000000,7394,88444000000,88444000000,50,2318,7418,0,59151,0,828596,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",5,2698,10,0,0,97.656,0,504,0,0,0,0,0,100,0,500,0,5928000000,370000000,32,5928000000,378000000,15.016,109,528,0,0,0,27096,0,0
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",5,3595,18,6528,0,37.5,0,1000,0,0,0,427235000000,286532000000,50,40,750,0,3337000000,3337000000,1000,6675000000,8900000000,46.154,458,446,29.172,36000,0,432064,8048,12000
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",10,4269,72,0,4112,76.095,0,2992,0,0,0,118739000000,74852000000,31.695,64.31,1166,0,7249000000,2018000000,354,22927000000,2652000000,61.238,255,957,62.693,0,0,458159,2497,3961
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",10,4955,32,0,0,99.985,0,4932,0,0,0,0,0,99.985,0,4930,0,31828000000,31828000000,4930,31832000000,31832000000,0,975,5149,0,39434,0,3272450,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",20,5485,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,373842000000,64080,0,373842000000,50,52886,34,0,0,0,7178516,0,0
"void kernelTransformReduceOuterDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, unsigned int, thrust::pair<float, long>, float)",820,6552,24,0,0,100,0,2643,0,0,0,0,0,100,50,1321,0,6453000000,3522000000,721,6453000000,3522000000,48.076,954,1385,0,21144,0,102349,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",5,6699,38,0,0,50,0,504,0,0,0,0,0,61.425,34.88,814,0,2387000000,1193000000,500,3887000000,2387000000,24.914,356,715,0,0,0,63048,0,0
