Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",4,1672,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4000000,1,0,18000000,0,16,30,0,0,0,2058,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>, thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>(thrust::device_ptr<long>, long)",2,1688,19,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,14000000,1,0,18000000,0,16,29,0,0,0,3635,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",14,1721,8,0,0,47.368,0,0,0,0,0,0,0,0,0,0,0,0,166000000,19,0,352000000,0,18,32,0,0,0,1148,0,0
"void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)",2,1856,18,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4413000000,256,0,4413000000,50,55,6,0,0,0,19968,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_",2,1925,14,0,0,100,0,16,0,0,0,0,0,100,0,15,0,248000000,248000000,15,248000000,248000000,0,18,56,0,0,0,2644,0,0
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",2,1981,32,0,0,100,0,46,0,0,0,0,0,100,0,45,0,726000000,726000000,45,726000000,726000000,0,30,56,0,0,0,7088,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",4,2003,10,0,0,95.703,0,142,0,0,0,0,0,100,0,140,0,2236000000,139000000,9,2236000000,143000000,15.403,53,155,0,0,0,8488,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_",12,2014,8,0,0,100,0,702,0,11237,0,0,0,100,50,702,0,11155000000,11155000000,702,11155000000,11155000000,50,86,724,0,5618,0,79370,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",4,2034,8,0,0,100,0,35,0,0,0,0,0,24.12,74.802,9,0,137000000,1100000000,70,557000000,1100000000,25.543,28,38,0,0,0,7368,0,0
"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",2,2044,23,0,0,100,0,16,0,0,0,0,0,100,0,15,0,234000000,234000000,15,234000000,234000000,0,21,78,0,60,0,4928,0,0
