Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",20,1958,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3000000,1,0,15000000,0,10,53,0,0,0,2058,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>, thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>(thrust::device_ptr<long>, long)",10,2019,19,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,11000000,1,0,15000000,0,10,53,0,0,0,3635,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",50,2023,8,0,0,47.368,0,0,0,0,0,0,0,0,0,0,0,0,141000000,19,0,300000000,0,11,59,0,0,0,1148,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_",40,2246,8,0,0,84.375,0,252,0,4033,0,0,0,84.375,37.5,252,0,3591000000,3591000000,252,3593000000,3593000000,37.5,274,299,0,2016,0,29065,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SA_EUliE_EEviT1_",80,2263,8,0,0,84.375,0,252,0,2016,0,0,0,84.375,37.5,252,0,3563000000,3563000000,252,3565000000,3565000000,37.5,299,308,0,2016,0,29065,0,0
"void kernelPointwiseApply3<TensorAddCMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2269,12,0,0,84.375,0,756,0,6050,0,0,0,84.375,37.5,756,0,10664000000,3554000000,252,10670000000,3556000000,37.5,303,564,0,4033,0,54096,0,0
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",10,2279,32,0,0,100,0,46,0,0,0,0,0,100,0,45,0,631000000,631000000,45,631000000,631000000,0,33,102,0,0,0,7088,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_",120,2291,8,0,0,84.375,0,504,0,4033,0,0,0,84.375,37.5,504,0,7040000000,3520000000,252,7044000000,3522000000,37.5,161,559,0,2016,0,41165,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",10,2328,8,0,0,100,0,63,0,0,0,0,0,24.802,74.603,16,0,214000000,1717000000,125,865000000,1717000000,25,24,69,0,0,0,11548,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_",10,2336,14,0,0,100,0,16,0,0,0,0,0,100,0,15,0,204000000,204000000,15,204000000,204000000,0,21,63,0,0,0,2644,0,0
