Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Shared Memory Load Throughput(bytes/sec),Floating Point Operations(Half Precision),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",328,1928,8,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1,0,16000000,0,54,45,0,0,0,2058,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",332,1977,8,0,0,42.706,0,0,0,0,0,0,0,0,0,0,0,0,69000000,10,0,164000000,0,17,45,0,0,0,999,0,0
"void kernelPointwiseApply2<Tensor_abs_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_abs_Float_Op)",328,2113,8,0,0,62.456,0,30,0,240,0,0,0,62.456,26.68,0,30,454000000,454000000,30,462000000,462000000,26.68,78,80,0,240,0,6594,0,0
"void kernelPointwiseApply2<TensorEQValueOp<float, unsigned char>, unsigned char, float, unsigned int, int=1, int=1>(OffsetInfo<unsigned char, unsigned char, float>, OffsetInfo<TensorEQValueOp<float, unsigned char>, unsigned char, unsigned int>, unsigned char, float)",328,2117,8,0,0,42.709,0,30,0,0,0,0,0,62.456,26.68,0,30,453000000,113000000,8,462000000,124000000,30.631,52,81,0,240,0,6354,0,0
"void kernelPointwiseApply2<TensorPowOp<float, int=2>, float, float, unsigned int, int=1, int=1>(OffsetInfo<int=2, float, float>, OffsetInfo<TensorPowOp<float, int=2>, float, unsigned int>, float, float)",328,2152,8,0,0,89.705,0,285,0,2284,0,0,0,89.705,44.418,0,285,4243000000,4243000000,285,4246000000,4246000000,44.418,114,332,0,2284,0,47275,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",2,2319,8,0,0,100,0,126,0,0,0,0,0,24.802,74.603,0,32,430000000,3449000000,250,1738000000,3449000000,25,32,77,0,0,0,23096,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_",164,2330,8,0,0,100,0,961,0,0,0,0,0,76.312,49.982,0,961,9845000000,6601000000,480,13202000000,6601000000,49.988,395,531,0,3847,0,77704,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",2,2465,10,0,0,97.656,0,504,0,0,0,0,0,100,0,0,500,6490000000,405000000,32,6490000000,414000000,15.016,316,551,0,0,0,27096,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",272,2589,11,0,0,94.019,0,344,0,0,0,0,0,19.621,81.746,0,10,1856000000,4251000000,344,7836000000,4253000000,62.828,122,56,0,2752,0,139712,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15div_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS5_RKT_EUliE_EEviT1_",56,2829,14,0,0,99.603,0,65,0,3183,0,0,0,76.239,53.989,0,41,376000000,364000000,32,463000000,367000000,52.316,106,114,0,2396,0,6171,0,0
