Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",2,2652,8,0,0,100,1250,0,0,0,0,0,0,25,74.96,313,0,3770000000,30165000000,2500,15082000000,30165000000,24.987,2383,364,0,0,0,230960,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_",2,3002,8,0,0,100,3985,0,0,0,0,0,0,46.677,0,7819,0,39704000000,26611000000,2497,83338000000,26611000000,19.054,1380,5030,0,19976,0,400016,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",4,3004,8,0,0,50,2497,0,0,0,0,0,0,50,25,3745,0,26594000000,26594000000,4994,53189000000,53189000000,12.5,1931,3801,0,0,0,460440,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",2,3119,10,0,0,99.84,5000,0,0,0,0,0,0,100,0,5000,0,51297000000,3205000000,313,51297000000,3211000000,14.992,809,5063,0,0,0,270960,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIlEEvRNS_14TensorIteratorEN3c106ScalarEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SC_EUliE0_EEviT1_",102,3831,18,0,0,25,2,0,0,0,0,0,0,25,0,1,0,1000000,1000000,1,7000000,7000000,0,579,111,0,0,0,663,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS5_RKT_EUliE_EEviT1_",22,3949,8,0,0,99.995,12584,0,0,50333,0,0,0,99.995,49.998,12584,0,101947000000,50973000000,6292,101952000000,50976000000,49.998,5479,12184,0,50333,0,1007192,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",469,5003,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,229746000000,35926,0,229746000000,50,18405,79,0,0,0,4024421,0,0
"void indexSelectLargeIndex<float, unsigned int, int=1, int=1, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",20,5418,32,0,0,99.994,13592,0,0,0,0,0,0,51.633,34.626,18765,0,55132000000,40135000000,6796,110829000000,40137000000,40.11,6547,16174,0,54366,0,3226744,0,0
"void CatArrayBatchedCopy<long, unsigned int, int=2>(long*, CatArrInputTensor<long, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",2,7033,16,0,0,100,52848,0,0,0,0,0,0,78.287,45.122,20739,0,73867000000,68494000000,15055,94354000000,68494000000,32.267,12288,15128,0,60220,0,3690500,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi2ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",100,7419,11,0,0,100,20039,0,0,0,0,0,0,50,50,20039,0,86428000000,86428000000,20039,172857000000,86428000000,50,21575,20113,0,160313,0,8056550,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",616,7655,11,0,0,100,39267,0,0,0,0,0,0,24.604,99.769,118,0,81817000000,164005000000,39236,327587000000,163869000000,74.714,23117,71,0,313889,0,15734978,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE0_EEviT1_",100,8075,15,0,0,100,39157,0,0,0,0,0,0,75.203,48.325,39852,0,119032000000,79402000000,20039,157909000000,79402000000,48.921,13773,20246,0,160313,0,7855635,0,0
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",2,8091,32,0,4096,25,2820,0,0,0,0,473000000,979000000,100,0,2820,50,9886000000,0,321,9886000000,3000000,16.927,1935,2701,100,512,0,135698,62,30
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi2ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",100,8115,12,0,0,100,20039,0,0,0,0,0,0,50,50,20039,0,79014000000,79014000000,20039,158030000000,79014000000,50,21378,20128,0,320627,0,12425093,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_",103,8181,8,0,0,100,39202,0,0,627235,0,0,0,100,50,39202,0,153326000000,153326000000,39202,153326000000,153326000000,50,23495,39291,0,313617,0,4390935,0,0
