Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",40,2548,8,0,0,47.368,0,0,0,0,0,0,0,0,0,0,0,0,112000000,19,0,238000000,0,1273,62,0,0,0,1148,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_",20,2575,8,0,0,68.617,0,94,0,1503,0,0,0,68.617,24.933,94,0,1166000000,1166000000,94,1173000000,1173000000,24.933,875,148,0,751,0,11066,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,2622,8,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1,0,11000000,0,584,195,0,0,0,2058,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SA_EUliE_EEviT1_",40,2653,8,0,0,68.617,0,94,0,751,0,0,0,68.617,24.933,94,0,1132000000,1132000000,94,1139000000,1139000000,24.933,1246,167,0,751,0,11066,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",10,2704,8,0,0,100,0,63,0,0,0,0,0,24.802,74.603,16,0,184000000,1478000000,125,744000000,1478000000,25,1545,71,0,0,0,11548,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_",60,2733,8,0,0,68.617,0,189,0,1503,0,0,0,68.617,24.933,189,0,2199000000,1099000000,94,2212000000,1105000000,24.933,1318,293,0,751,0,15575,0,0
"void kernelPointwiseApply3<TensorAddCMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",20,2792,12,0,0,68.617,0,283,0,2254,0,0,0,68.617,24.933,283,0,3228000000,1076000000,94,3248000000,1082000000,24.933,1279,247,0,1503,0,20629,0,0
"void kernelPointwiseApply2<Tensor_sqrt_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_sqrt_Float_Op)",20,2921,10,0,0,68.617,0,94,0,5260,0,0,0,68.617,24.933,94,0,1028000000,1028000000,94,1034000000,1034000000,24.933,1045,156,0,4509,0,17623,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",20,3002,11,0,0,98.78,0,105,0,0,0,0,0,9.579,94.056,4,0,105000000,1118000000,105,1123000000,1123000000,64.389,875,64,0,840,0,43294,0,0
"void kernelPointwiseApply3<TensorAddCDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",20,3065,14,0,0,68.617,0,283,0,12775,0,0,0,68.617,24.933,283,0,2941000000,980000000,94,2959000000,986000000,24.933,1294,356,0,8266,0,20629,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",10,3070,10,0,0,97.656,0,252,0,0,0,0,0,100,0,250,0,2604000000,162000000,16,2604000000,166000000,15.016,1546,313,0,0,0,13548,0,0
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",10,3697,18,6528,0,37.5,0,500,0,0,0,207701000000,139298000000,50,40,375,0,1622000000,1622000000,500,3244000000,4326000000,46.154,399,286,29.172,18000,0,216032,4024,6000
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",10,4244,32,0,0,25,0,20,0,340,0,0,0,43.75,33.333,18,0,58000000,55000000,30,135000000,225000000,15.789,1009,120,0,280,0,1280,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",40,4817,32,0,0,99.985,0,4932,0,0,0,0,0,99.985,0,4930,0,32740000000,32740000000,4930,32745000000,32745000000,0,2067,5128,0,39434,0,1865953,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",40,5126,72,0,4112,54.042,0,3142,0,0,0,97801000000,57976000000,29.921,62.982,1362,0,5965000000,557000000,148,19970000000,923000000,60.519,1104,1090,63.455,0,0,443610,2322,3917
"void at::native::_GLOBAL__N__53_tmpxft_00001abf_00000000_9_SoftMax_compute_70_cpp1_ii_a3310042::cunn_SoftMaxBackward<int=2, float, float, float, at::native::_GLOBAL__N__53_tmpxft_00001abf_00000000_9_SoftMax_compute_70_cpp1_ii_a3310042::LogSoftMaxBackwardEpilogue>(float*, float*, float, int)",10,5180,23,0,128,30,0,180,0,3960,0,26684000000,4447000000,30,0,225,0,416000000,138000000,75,1389000000,462000000,0,2230,219,14.732,8520,0,121320,180,1080
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",20,5453,38,0,0,50,0,142,0,0,0,0,0,66.667,0,210,0,821000000,410000000,140,1231000000,821000000,0,1645,434,0,0,0,17942,0,0
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",10,5599,32,256,0,12.5,0,17,0,259,0,822000000,136000000,37.812,13.043,40,0,85000000,3000000,5,227000000,27000000,11.765,2148,214,27.381,195,0,1337,6,36
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",10,6188,32,0,0,25,0,148,0,0,0,0,0,100,0,141,50,645000000,1000000,17,645000000,4000000,16.842,807,618,0,0,0,35142,0,0
"void at::native::_GLOBAL__N__53_tmpxft_00001abf_00000000_9_SoftMax_compute_70_cpp1_ii_a3310042::cunn_SoftMaxForward<int=2, float, float, float, at::native::_GLOBAL__N__53_tmpxft_00001abf_00000000_9_SoftMax_compute_70_cpp1_ii_a3310042::LogSoftMaxForwardEpilogue>(float*, float*, int)",10,6565,25,0,128,30,0,180,0,51960,0,42111000000,7018000000,30,0,225,0,328000000,109000000,75,1096000000,365000000,0,2338,272,14.732,39660,0,93660,360,2160
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfZNS0_15sum_kernel_implIffEEvRNS_14TensorIteratorEEUlffE_EEEEvT0_",10,9400,27,0,0,37.5,0,60,0,180,0,0,0,30,0,75,0,76000000,1000000,1,254000000,3000000,0,1812,205,0,180,0,29866,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",20,10933,40,0,0,100,0,52500,0,0,0,0,0,85.144,58.267,21910,0,54600000000,51220000000,17500,64127000000,51220000000,54.96,12025,18054,0,0,0,11620416,0,0
"sgemm_32x32x32_NT_vec",20,12494,153,16912,0,30,0,20504,0,9597312,0,227180000000,119491000000,78.483,20.493,19548,0,49409000000,268000000,350,62951000000,895000000,20.187,6660,18074,158.164,4869504,0,418176,11664,22176
"maxwell_sgemm_128x64_nt",10,16536,120,12288,0,91.912,0,4020,0,4227072,0,75299000000,27865000000,49.231,48.054,4051,0,7430000000,362000000,204,15093000000,394000000,47.943,3231,4221,157.623,2130432,0,246272,3600,9728
