==24009== NVPROF is profiling process 24009, command: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --prof-forward
==24009== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24009== Profiling application: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --prof-forward
==24009== Profiling result:
==24009== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply2<TensorMulConstantOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulConstantOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
         90                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         90                             flop_count_sp                Floating Point Operations(Single Precision)     7333264     7333264     7333264
         90                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         90                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         90                                inst_fp_32                                    FP Instructions(Single)     7333264     7333264     7333264
         90                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         90                              inst_integer                                       Integer Instructions   146665728   146665728   146665728
         90                  gld_requested_throughput                           Requested Global Load Throughput  90.713GB/s  92.848GB/s  92.048GB/s
         90                  gst_requested_throughput                          Requested Global Store Throughput  90.713GB/s  92.848GB/s  92.048GB/s
         90                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
         90                            gld_throughput                                     Global Load Throughput  90.713GB/s  92.848GB/s  92.048GB/s
         90                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         90                            gst_throughput                                    Global Store Throughput  90.713GB/s  92.848GB/s  92.048GB/s
         90                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         90                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         90                      global_load_requests   Total number of global load requests from Multiprocessor      916658      916658      916658
         90                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         90                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         90                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         90                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.00%       0.00%       0.00%
         90                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      916658      916658      916658
         90                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)      916658      916658      916658
         90                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         90                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         90                        tex_cache_hit_rate                                     Unified Cache Hit Rate      50.00%      50.00%      50.00%
         90                    tex_cache_transactions                                 Unified Cache Transactions      916658      916658      916658
    Kernel: void kernelPointwiseApply2<ELUupdateOutput_functor<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<ELUupdateOutput_functor<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
         90                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         90                             flop_count_sp                Floating Point Operations(Single Precision)      118441      145081      133939
         90                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         90                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         90                                inst_fp_32                                    FP Instructions(Single)      183117      221597      205335
         90                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         90                              inst_integer                                       Integer Instructions      381120      434688      428736
         90                  gld_requested_throughput                           Requested Global Load Throughput  23.437GB/s  26.322GB/s  25.511GB/s
         90                  gst_requested_throughput                          Requested Global Store Throughput  23.437GB/s  26.322GB/s  25.511GB/s
         90                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                            gld_efficiency                              Global Memory Load Efficiency      99.98%     100.00%     100.00%
         90                            gld_throughput                                     Global Load Throughput  23.442GB/s  26.322GB/s  25.512GB/s
         90                            gst_efficiency                             Global Memory Store Efficiency      99.98%     100.00%     100.00%
         90                            gst_throughput                                    Global Store Throughput  23.442GB/s  26.322GB/s  25.512GB/s
         90                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         90                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         90                      global_load_requests   Total number of global load requests from Multiprocessor        2370        2708        2670
         90                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         90                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         90                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         90                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.00%       0.00%       0.00%
         90                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)        2370        2708        2670
         90                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        2370        2708        2670
         90                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         90                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         90                        tex_cache_hit_rate                                     Unified Cache Hit Rate      49.99%      50.00%      50.00%
         90                    tex_cache_transactions                                 Unified Cache Transactions        2370        2708        2670
    Kernel: void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
        110                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        110                             flop_count_sp                Floating Point Operations(Single Precision)      173312     7333264     6368477
        110                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        110                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        110                                inst_fp_32                                    FP Instructions(Single)      173312     7333264     6368477
        110                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        110                              inst_integer                                       Integer Instructions     3467264   146665728   127370152
        110                  gld_requested_throughput                           Requested Global Load Throughput  112.93GB/s  128.15GB/s  126.90GB/s
