==11110== NVPROF is profiling process 11110, command: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-backprop
==11110== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11110== Profiling application: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-backprop
==11110== Profiling result:
==11110== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)
        180                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        180                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
        180                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        180                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        180                                inst_fp_32                                    FP Instructions(Single)       26624       26624       26624
        180                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        180                              inst_integer                                       Integer Instructions      920128      920128      920128
        180                  gld_requested_throughput                           Requested Global Load Throughput  17.578GB/s  20.131GB/s  18.397GB/s
        180                  gst_requested_throughput                          Requested Global Store Throughput  17.642MB/s  20.204MB/s  18.463MB/s
        180                    shared_load_throughput                              Shared Memory Load Throughput  25.636GB/s  29.359GB/s  26.829GB/s
        180                   shared_store_throughput                             Shared Memory Store Throughput  18.193GB/s  20.836GB/s  19.040GB/s
        180                            gld_efficiency                              Global Memory Load Efficiency      92.01%      92.01%      92.01%
        180                            gld_throughput                                     Global Load Throughput  19.105GB/s  21.880GB/s  19.994GB/s
        180                            gst_efficiency                             Global Memory Store Efficiency      25.00%      25.00%      25.00%
        180                            gst_throughput                                    Global Store Throughput  70.567MB/s  80.817MB/s  73.853MB/s
        180                         shared_efficiency                                   Shared Memory Efficiency      81.72%      81.72%      81.72%
        180                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
        180                      global_load_requests   Total number of global load requests from Multiprocessor        1663        1663        1663
