Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",450,938,10,0,0,40,0,0,0,0,0,0,0,0,13363000000,0,664,13372000000,0,0,0,0,38824,0,0,0,0,0,0,85,235,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>(thrust::use_default, thrust::use_default)",180,981,10,0,0,100,0,0,0,0,0,0,0,0,49976000000,0,3316,49976000000,0,0,0,0,113520,0,0,0,0,0,0,384,168,0,0,0,0
"void kernelPointwiseApply2<CopyOp<int, long>, int, long, unsigned int, int=1, int=1>(OffsetInfo<long, int, long>, OffsetInfo<CopyOp<int, long>, int, unsigned int>, int, int)",180,1049,8,0,0,100,0,1658,0,0,0,0,3316,18951000000,18951000000,37904000000,1658,18951000000,25,0,0,0,265472,0,0,0,0,0,50,155,3570,0,1658,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",90,1088,8,0,0,46.875,0,0,0,0,0,0,0,0,148000000,0,20,317000000,0,0,0,0,1160,0,0,0,0,0,0,11,315,0,0,0,0
"void kernelPointwiseApply2<Tensor_neg_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_neg_Float_Op)",180,1159,8,0,0,99.999,0,2164,0,17313,0,0,2164,25786000000,25786000000,25786000000,2164,25786000000,49.999,0,17313,0,347104,0,0,0,0,0,99.999,255,2416,0,2164,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,1161,8,0,0,12.5,0,0,0,0,0,0,0,0,1000000,0,1,15000000,0,0,0,0,2058,0,0,0,0,0,0,8,71,0,0,0,0
"void kernelPointwiseApply2<TensorCAddOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorCAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",270,1227,20,0,0,100,0,6632,0,0,0,0,6632,60090000000,30044000000,60090000000,3316,30044000000,0,0,0,0,490960,0,0,0,0,0,100,575,6862,33.333,3316,0,0
"void kernelPointwiseApply1<TensorDivConstantOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorDivConstantOp<long>, long, unsigned int>, long, long)",180,1261,24,0,0,100,0,3316,0,0,0,0,3316,35394000000,35394000000,35394000000,3316,35394000000,0,0,13264,0,517493,0,0,0,0,0,100,513,3879,50,1658,0,0
"void kernelPointwiseApply2<TensorAddOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",90,1342,11,0,0,100,0,6632,0,0,0,0,6632,60870000000,30434000000,60870000000,3316,30434000000,0,0,0,0,292000,0,0,0,0,0,100,657,6889,33.333,3316,0,0
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",180,1436,10,0,0,99.306,0,1282,0,5127,0,0,1282,16828000000,8414000000,16828000000,641,8414000000,50,0,5127,0,104119,0,0,0,0,0,99.306,73,1533,33.333,1282,0,0
