==19913== NVPROF is profiling process 19913, command: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-forward
==19913== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19913== Profiling application: python train.py --epochs 200 --profile-epoch-list 100-110 --profile-batch-list 0 --sparse --prof-forward
==19913== Profiling result:
==19913== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         90                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         90                             flop_count_sp                Floating Point Operations(Single Precision)      238350      278520      269435
         90                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         90                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         90                                inst_fp_32                                    FP Instructions(Single)      177296      204256      200028
         90                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         90                              inst_integer                                       Integer Instructions      769004      884704      868642
         90                  gld_requested_throughput                           Requested Global Load Throughput  28.521GB/s  33.380GB/s  31.877GB/s
         90                  gst_requested_throughput                          Requested Global Store Throughput  24.384GB/s  29.671GB/s  28.224GB/s
         90                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                            gld_efficiency                              Global Memory Load Efficiency      86.15%      90.00%      89.57%
         90                            gld_throughput                                     Global Load Throughput  33.043GB/s  37.805GB/s  35.580GB/s
         90                            gst_efficiency                             Global Memory Store Efficiency      99.98%     100.00%     100.00%
         90                            gst_throughput                                    Global Store Throughput  24.389GB/s  29.671GB/s  28.225GB/s
         90                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         90                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         90                      global_load_requests   Total number of global load requests from Multiprocessor        4740        5416        5340
         90                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         90                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         90                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         90                           l2_tex_hit_rate                                          L2 Cache Hit Rate       5.55%       9.09%       5.94%
         90                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)        3217        3385        3366
         90                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        2370        2708        2670
         90                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         90                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         90                        tex_cache_hit_rate                                     Unified Cache Hit Rate      54.15%      55.00%      54.91%
         90                    tex_cache_transactions                                 Unified Cache Transactions        4740        5416        5340
         90                    dram_read_transactions                            Device Memory Read Transactions        2787        3589        3243
         90                   dram_write_transactions                           Device Memory Write Transactions         106        1260         602
    Kernel: void kernelPointwiseApply3<TensorAddOp<long>, long, long, long, unsigned int, int=1, int=2, int=2>(OffsetInfo<TensorAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, OffsetInfo<long, long, int=2>, long, long)
        180                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        180                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
        180                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        180                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        180                                inst_fp_32                                    FP Instructions(Single)           0           0           0
        180                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        180                              inst_integer                                       Integer Instructions     5015136     5731584     5651978
        180                  gld_requested_throughput                           Requested Global Load Throughput  43.036GB/s  56.297GB/s  45.647GB/s
        180                  gst_requested_throughput                          Requested Global Store Throughput  114.76GB/s  144.93GB/s  121.30GB/s
        180                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        180                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        180                            gld_efficiency                              Global Memory Load Efficiency      77.68%     100.00%      97.52%
        180                            gld_throughput                                     Global Load Throughput  43.036GB/s  72.473GB/s  46.981GB/s
        180                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
        180                            gst_throughput                                    Global Store Throughput  114.76GB/s  144.93GB/s  121.30GB/s
        180                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
        180                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
        180                      global_load_requests   Total number of global load requests from Multiprocessor       23212       26528       26159
        180                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        180                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        180                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        180                           l2_tex_hit_rate                                          L2 Cache Hit Rate      18.18%      23.81%      18.80%
        180                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)        9948       11607       10132
        180                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)       23212       26528       26159
        180                  shared_load_transactions                                   Shared Load Transactions           0           0           0
        180                 shared_store_transactions                                  Shared Store Transactions           0           0           0
        180                        tex_cache_hit_rate                                     Unified Cache Hit Rate      31.25%      43.24%      32.58%
        180                    tex_cache_transactions                                 Unified Cache Transactions       46424       53056       52319
        180                    dram_read_transactions                            Device Memory Read Transactions        3323        8347        3784
        180                   dram_write_transactions                           Device Memory Write Transactions       12541       22150       21103
    Kernel: void kernelPointwiseApply2<ELUupdateOutput_functor<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<ELUupdateOutput_functor<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
         90                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         90                             flop_count_sp                Floating Point Operations(Single Precision)      122167      144631      134615
         90                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         90                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         90                                inst_fp_32                                    FP Instructions(Single)      188499      220947      206312
         90                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         90                              inst_integer                                       Integer Instructions      381120      434688      428736
         90                  gld_requested_throughput                           Requested Global Load Throughput  28.659GB/s  33.627GB/s  31.546GB/s
         90                  gst_requested_throughput                          Requested Global Store Throughput  28.659GB/s  33.627GB/s  31.546GB/s
         90                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         90                            gld_efficiency                              Global Memory Load Efficiency      99.98%     100.00%     100.00%
         90                            gld_throughput                                     Global Load Throughput  28.665GB/s  33.627GB/s  31.546GB/s
         90                            gst_efficiency                             Global Memory Store Efficiency      99.98%     100.00%     100.00%
         90                            gst_throughput                                    Global Store Throughput  28.665GB/s  33.627GB/s  31.546GB/s
         90                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         90                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         90                      global_load_requests   Total number of global load requests from Multiprocessor        2370        2708        2670
         90                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         90                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         90                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         90                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.00%       0.00%       0.00%
         90                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)        2370        2708        2670
         90                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        2370        2708        2670
         90                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         90                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         90                        tex_cache_hit_rate                                     Unified Cache Hit Rate      49.99%      50.00%      50.00%
         90                    tex_cache_transactions                                 Unified Cache Transactions        2370        2708        2670
         90                    dram_read_transactions                            Device Memory Read Transactions        2377        5069        2912
         90                   dram_write_transactions                           Device Memory Write Transactions          70        1334         453
    Kernel: void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
        110                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
        110                             flop_count_sp                Floating Point Operations(Single Precision)       13264     3880564      379386
        110                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
        110                                inst_fp_64                                    FP Instructions(Double)           0           0           0
        110                                inst_fp_32                                    FP Instructions(Single)       13264     3880564      379386
        110                                inst_fp_16                                      HP Instructions(Half)           0           0           0
        110                              inst_integer                                       Integer Instructions      265472    77612864     7588125
        110                  gld_requested_throughput                           Requested Global Load Throughput  39.388GB/s  128.13GB/s  119.68GB/s
        110                  gst_requested_throughput                          Requested Global Store Throughput  19.694GB/s  64.066GB/s  59.839GB/s
        110                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        110                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        110                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
        110                            gld_throughput                                     Global Load Throughput  39.388GB/s  128.13GB/s  119.68GB/s
        110                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
        110                            gst_throughput                                    Global Store Throughput  19.694GB/s  64.066GB/s  59.839GB/s
        110                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
        110                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
        110                      global_load_requests   Total number of global load requests from Multiprocessor        3316      970142       94846
        110                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
        110                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
        110                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
        110                           l2_tex_hit_rate                                          L2 Cache Hit Rate      33.33%      33.33%      33.33%
