Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",1,1792,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,20000000,0,0,0,0,2058,0,0,0,0,0,0,10,8,0,0,0,0
"void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)",1,2080,18,0,0,85.417,0,0,0,0,0,0,0,0,2542000000,0,192,2976000000,45.455,0,0,0,19968,0,0,0,0,0,0,56,958,68.229,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",2,2528,8,0,0,49.998,0,0,0,0,0,0,0,0,113634000000,0,18327,227277000000,0,0,0,0,806592,0,0,0,0,0,0,10005,320,0,0,0,0
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",1,38624,32,0,0,100,0,119392,0,0,0,0,119392,99057000000,99057000000,99057000000,119392,99057000000,0,0,0,0,15282688,0,0,0,0,0,100,109898,124364,0,59696,0,0
"void kernelPointwiseApply2<TensorPutAccumulateOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorPutAccumulateOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorPutAccumulateOp<float, int, int=-2>, long>, TensorPutAccumulateOp<float, int, int=-2>, float)",1,50465,32,0,0,100,0,477568,0,477568,0,0,507414,299738000000,37467000000,318471000000,59696,37467000000,40.625,0,477568,0,21968632,0,0,0,0,0,94.118,68104,240684,57.895,298480,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>)",8,60144,70,0,16912,100,0,209040,0,0,0,0,182832,87895000000,87437000000,89265000000,179088,87437000000,26.52,34.23,0,0,20275844,119810,405108,0,791164000000,233984000000,98.464,171712,182606,1.018,134368,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",36,80854,23,0,0,99.892,0,70164,0,0,0,0,208757,24320000000,976000000,91298000000,2239,976000000,2.611,0,0,0,3072992,0,0,0,0,0,26.586,21704,181013,19.33,35082,0,0
"void kernelReduceNoncontigDim_shared<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, float, float, thrust::identity<float>, float, float volatile *, int*)",2,145441,23,2064,0,87.279,0,936902,0,7321122,0,0,1037863,183434000000,714000000,228387000000,4046,889000000,48.341,78.618,7321122,0,89949559,43758,64239,0,56592000000,38549000000,87.273,31108,833315,12.953,935536,0,0
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",1,170274,32,0,0,12.579,0,2916,0,35104,0,0,3277,283000000,274000000,617000000,11575,2181000000,6.866,0,23456,0,129024,0,0,0,0,0,45.823,28097,26176,4.747,2916,0,0
