Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",2,2736,8,0,0,49.998,0,0,0,0,0,0,0,0,118929000000,0,18327,237870000000,0,0,0,0,806592,0,0,0,0,0,0,10807,586,0,0,0,0
"void kernelPointwiseApply2<TensorMaxValueOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMaxValueOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",1,149089,8,0,0,100,0,465930,0,0,0,0,465930,99428000000,99428000000,99428000000,465930,99428000000,50,0,3727440,0,74550528,0,0,0,0,0,100,461481,475465,0,465930,0,0
"void kernelPointwiseApply1<TensorDivConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorDivConstantOp<float>, float, unsigned int>, float, float)",1,149665,8,0,0,100,0,465930,0,3727440,0,0,465930,99436000000,99436000000,99436000000,465930,99436000000,50,0,3727440,0,52185888,0,0,0,0,0,100,460149,475951,50,465930,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",28,163941,23,0,0,99.983,0,93494,0,0,0,0,336478,17035000000,579000000,68143000000,2863,579000000,0.252,0,0,0,4019846,0,0,0,0,0,25,28371,309532,11.184,46747,0,0
"void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",1,217954,10,0,0,100,0,931860,0,3727440,0,0,931860,135758000000,67879000000,135758000000,465930,67879000000,50,0,3727440,0,74550528,0,0,0,0,0,100,457995,942827,33.333,931860,0,0
"generate_bernoulli(curandStateMtgp32*, int, float*, double)",1,270114,28,0,0,87.385,0,8401697,0,7454880,0,0,3925445,284072000000,108386000000,455675000000,1068493,124033000000,61.824,0,3727440,3727440,208297410,0,0,0,0,0,62.341,630052,14281,90.261,7469793,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",2,472403,11,0,0,100,0,1659876,0,6639502,0,0,1772718,103178000000,55508000000,118479000000,829938,55508000000,53.184,0,6639502,0,258942075,0,0,0,0,0,91.944,825556,837442,30.45,1659876,0,0
"void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",2,505668,12,0,512,13.917,0,2953931,0,0,0,0,3600101,186732000000,1839000000,227580000000,209253,13227000000,47.402,99.479,38912,0,428451433,738482,1476964,0,373464000000,186732000000,82.051,56375,2968289,22.738,2953931,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",4,718206,8,0,0,100,0,829938,0,0,28.481,0,4443900,37108000000,37108000000,278700000000,829938,37108000000,37.156,0,0,0,219105060,0,0,0,0,0,14.931,838187,3787152,21.748,829938,0,0
