Name, Total Duration (ms), Kernel Time/GPU Time, FOPs(HP)/Bytes Read+Write, FOPs(SP)/Bytes Read+Write, FOPs(DP)/Bytes Read+Write, Global Store Req Throughput/Global Store Actual Throughput, Global Load Req Throughput/Global Load Actual Throughput, Invocations, Avg. Duration(ns), Registers/Thread, Static Shared Memory, Avg. Dynamic Shared Memory, Global Memory Store Efficiency(%), Unified Cache Transactions, HP Instructions(Half), Floating Point Operations(Double Precision), Floating Point Operations(Single Precision), Global Hit Rate in unified l1/tex(%), Local Hit Rate(%), L2 Transactions (Texture Reads), Requested Global Load Throughput(bytes/sec), Requested Global Store Throughput(bytes/sec), L2 Transactions (Texture Writes), Global Load Throughput(bytes/sec), Global Store Throughput(bytes/sec), Unified Cache Hit Rate(%), Shared Memory Efficiency(%), FP Instructions(Single), FP Instructions(Double), Integer Instructions, Shared Store Transactions, Shared Load Transactions, Floating Point Operations(Half Precision), Shared Memory Load Throughput(bytes/sec), Shared Memory Store Throughput(bytes/sec), Global Memory Load Efficiency(%)
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",7886.49588,0.450179981,0,0,0, N/A,0.888785047,20,394226570,16,8704,0,50,11723404,0,0,0,25,0,13188828,951000000,0,2,1070000000,0,25,68.636,0,0,468946048,80,30,0,0,0,88.889
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",7884.5314,0.450067843,0,0,0,0.374980817,0.661289577,10,143001,18,6528,0,37.5,1048344,0,0,0,39.806,0,1354110,2.00E+11,14661000000,174724,3.03E+11,39098000000,41.177,29.063,19569088,0,91212016,1397848,2096688,0,1.88E+12,1.25E+12,66.129
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1)",504.64624,0.02880641,0,0,0,1,0.994184332,20,6193701,88,0,16912,100,12456204,0,0,0,2.273,0,11815002,60687000000,60568000000,11723402,61042000000,60568000000,1.154,25.105,0,0,4155476513,102605940,196581671,0,4.06E+12,2.12E+12,99.419
sgemm_32x32x32_NN,388.55268,0.022179513,0,0.004116129,0,0.802816901,0.214527016,20,1004137,153,16912,0,87.273,14051290,0,0,5204575296,82.336,0,12979354,4.43E+11,26448000000,1033782,2.07E+12,32944000000,76.37,144.834,2688261696,0,334576512,7863480,13979520,0,1.78E+12,1.00E+12,21.917
"void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",189.10506,0.010794568,0,0,0,0.139147287,0.820513783,20,288362,12,0,512,13.917,2953931,0,0,0,48.684,0,3600101,3.28E+11,3231000000,209253,4.00E+11,23220000000,47.402,99.479,61440,0,429127273,738482,1476964,0,6.56E+11,3.28E+11,82.051
"void kernelTransformReduceInnermostDimIndex<long, long, MinValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",123.87402,0.007071024,0,0,0, N/A,0.88868101,20,394324794,16,8704,0,50,11723404,0,0,0,25,0,13188828,950000000,0,2,1069000000,0,25,68.636,0,0,468946048,80,30,0,0,0,88.889
"void csrMmt_hyb_core<float, int=4, int=4>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",109.50896,0.006251032,0,0.008454542,0,0.551990834,0.517272419,10,7735415,32,3464,0,55.196,53124017,0,0,769168720,49.007,0,55065434,2.18E+11,1927000000,844138,4.22E+11,3491000000,48.75,72.463,394019872,0,3334726253,2808860,34084358,0,5.64E+11,46478000000,51.727
"void csrMmt_hyb_core<float, int=3, int=5>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",77.35415,0.004415559,0,0.024991409,0,0.835538752,0.290259361,10,18910506,32,3496,0,83.719,77750922,0,0,768237799,38.754,0,87408038,64574000000,442000000,313053,2.22E+11,529000000,38.797,58.628,393088951,0,4274879373,6884572,42220677,0,2.86E+11,46599000000,29.026
_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15div_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_,51.8122,0.002957564,0,0,0,1,1,40,881208,23,0,0,100,5861702,0,0,0,0,0,5861701,2.13E+11,2.13E+11,5861701,2.13E+11,2.13E+11,0,0,23446803,0,2527759522,0,0,0,0,0,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",35.40876,0.002021216,0,0,0,0.499977361, N/A,20,2655,8,0,0,49.998,0,0,0,0,0,0,0,0,1.10E+11,18327,0,2.21E+11,0,0,0,0,806592,0,0,0,0,0,0
