==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)    35831808    35831808    35831808
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)    18923520    18923520    18923520
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions     2949120     2949120     2949120
         10                  gld_requested_throughput                           Requested Global Load Throughput  256.45GB/s  324.66GB/s  303.13GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  32.056GB/s  40.582GB/s  37.891GB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  897.58GB/s  1136.3GB/s  1061.0GB/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  528.93GB/s  669.60GB/s  625.20GB/s
         10                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
         10                            gld_throughput                                     Global Load Throughput  256.45GB/s  324.66GB/s  303.13GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         10                            gst_throughput                                    Global Store Throughput  32.056GB/s  40.582GB/s  37.891GB/s
         10                         shared_efficiency                                   Shared Memory Efficiency      72.51%      72.51%      72.51%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex       1.59%       3.25%       2.52%
         10                      global_load_requests   Total number of global load requests from Multiprocessor       32768       32768       32768
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate      75.01%      77.25%      76.03%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      126528      129904      128241
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)       16384       16384       16384
         10                  shared_load_transactions                                   Shared Load Transactions      114688      114688      114688
         10                 shared_store_transactions                                  Shared Store Transactions       67584       67584       67584
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      10.71%      12.77%      11.70%
         10                    tex_cache_transactions                                 Unified Cache Transactions      131072      131072      131072
         10                    dram_read_transactions                            Device Memory Read Transactions       18198       22196       19149
         10                   dram_write_transactions                           Device Memory Write Transactions        8097       13379       11522
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         20                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         20                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         20                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         20                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         20                                inst_fp_32                                    FP Instructions(Single)      131072      347904      233190
         20                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         20                              inst_integer                                       Integer Instructions     3037498     7992604     5370949
         20                  gld_requested_throughput                           Requested Global Load Throughput  81.072GB/s  91.127GB/s  87.860GB/s
         20                  gst_requested_throughput                          Requested Global Store Throughput  52.982GB/s  60.950GB/s  58.374GB/s
         20                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                            gld_efficiency                              Global Memory Load Efficiency      75.59%      80.18%      77.90%
         20                            gld_throughput                                     Global Load Throughput  101.19GB/s  120.38GB/s  114.24GB/s
         20                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
