Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,1968,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,19000000,0,0,0,0,2058,0,0,0,0,0,0,13,319,0,0,0,0
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",27,2334,10,0,0,100,0,6730,0,26922,0,0,6730,64422000000,32211000000,64422000000,3365,32211000000,50,0,26922,0,538624,0,0,0,0,0,100,1669,7078,33.333,6730,0,0
"void at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxBackward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxBackwardEpilogue>(float*, float, float, int)",10,6380,23,0,128,30,0,3072,0,67584,0,0,3840,6705000000,2234000000,22353000000,1280,7450000000,0,10.119,145408,0,2070528,3072,18432,0,429200000000,71532000000,30,369,1118,82.918,3072,0,0
"sgemm_32x32x32_TT",10,12301,153,16912,0,100,0,8192,0,10665984,76.553,0,2900,12206000000,65103000000,48827000000,16384,65103000000,59.044,76.474,6340608,0,2375680,43008,65536,0,1041663000000,683591000000,25,11037,1291,12.701,8192,0,0
"void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",20,12659,10,0,0,100,0,57040,0,0,0,0,57044,94640000000,62931000000,123297000000,29148,62931000000,48.501,0,233190,0,5370949,0,0,0,0,0,77.903,25386,58007,0,57040,0,0
"sgemm_32x32x32_TN_vec",10,14201,153,16912,0,100,0,131072,0,35831808,2.522,0,128241,328202000000,41024000000,328202000000,16384,41024000000,11.698,72.507,18923520,0,2949120,67584,114688,0,1148711000000,676918000000,100,11522,19149,76.025,32768,0,0
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",10,18182,32,0,0,25,0,260,0,3232,0,0,289,248000000,240000000,544000000,512,965000000,11,0,2208,0,12160,0,0,0,0,0,45.718,367,1121,35.83,260,0,0
"sgemm_32x32x32_NN_vec",11,22100,153,16912,0,98.968,0,243246,0,62895569,0.517,0,248814,359251000000,3860000000,382266000000,2682,3998000000,2.808,67.814,31608087,0,2357806,66606,130130,0,774331000000,396363000000,98.975,14238,55377,74.444,60811,0,0
"maxwell_sgemm_64x64_tt",10,53047,124,8448,0,96.5,0,18910,0,16809984,7.198,0,17602,12161000000,67000000,13446000000,100,70000000,50.817,50.346,8413440,0,702985,9224,33536,0,94845000000,26086000000,90.444,3017,23290,5.064,18874,0,0
"sgemm_32x32x32_NN",9,104477,153,16912,0,88.652,0,1340757,0,346469717,77.018,0,1370180,458511000000,2769000000,2066867000000,9024,3124000000,79.276,67.172,173738666,0,11791018,354645,699050,0,968865000000,491525000000,22.184,31544,273123,80.192,1340757,0,0
"maxwell_sgemm_128x64_nt",10,149463,120,12288,0,83.651,0,1080126,0,702657331,8.268,0,1095713,247447000000,19662000000,280221000000,100256,23520000000,52.467,47.848,351681792,0,15986230,299956,1401804,0,1315131000000,281410000000,88.333,65518,549263,52.887,1079280,0,0
