==6767== NVPROF is profiling process 6767, command: python -m graphsage.model --prof-forward
==6767== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6767== Profiling application: python -m graphsage.model --prof-forward
==6767== Profiling result:
==6767== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         20                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         20                             flop_count_sp                Floating Point Operations(Single Precision)       47880      279795      160881
         20                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         20                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         20                                inst_fp_32                                    FP Instructions(Single)    15385056   155178848    82430610
         20                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         20                              inst_integer                                       Integer Instructions   125508432  1266512328   672726592
         20                  gld_requested_throughput                           Requested Global Load Throughput  93.230GB/s  95.414GB/s  94.763GB/s
         20                  gst_requested_throughput                          Requested Global Store Throughput  90.374GB/s  92.514GB/s  91.881GB/s
         20                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                            gld_efficiency                              Global Memory Load Efficiency      82.50%      82.53%      82.51%
         20                            gld_throughput                                     Global Load Throughput  112.98GB/s  115.65GB/s  114.86GB/s
         20                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         20                            gst_throughput                                    Global Store Throughput  90.374GB/s  92.514GB/s  91.881GB/s
         20                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         20                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         20                      global_load_requests   Total number of global load requests from Multiprocessor      640512     6462726     3432821
         20                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         20                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         20                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         20                           l2_tex_hit_rate                                          L2 Cache Hit Rate      11.09%      11.11%      11.11%
         20                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      400384     4039459     2145647
         20                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)      320256     3231363     1716410
         20                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         20                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         20                        tex_cache_hit_rate                                     Unified Cache Hit Rate      55.00%      55.00%      55.00%
         20                    tex_cache_transactions                                 Unified Cache Transactions      640512     6462726     3432821
         20                    dram_read_transactions                            Device Memory Read Transactions      325846     3306037     1734899
         20                   dram_write_transactions                           Device Memory Write Transactions      313609     3224569     1709593
    Kernel: void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)           0           0           0
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions      101376      101376      101376
         10                  gld_requested_throughput                           Requested Global Load Throughput  5.5020GB/s  6.1660GB/s  5.8421GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  5.5020GB/s  6.1660GB/s  5.8421GB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                            gld_efficiency                              Global Memory Load Efficiency      66.67%      66.67%      66.67%
         10                            gld_throughput                                     Global Load Throughput  8.2530GB/s  9.2490GB/s  8.7632GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         10                            gst_throughput                                    Global Store Throughput  5.5020GB/s  6.1660GB/s  5.8421GB/s
         10                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex      14.58%      16.67%      15.62%
         10                      global_load_requests   Total number of global load requests from Multiprocessor         384         384         384
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate      10.96%      12.41%      11.58%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         480         492         486
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         384         384         384
         10                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         10                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      61.98%      62.50%      62.19%
         10                    tex_cache_transactions                                 Unified Cache Transactions         384         384         384
         10                    dram_read_transactions                            Device Memory Read Transactions         395         611         476
         10                   dram_write_transactions                           Device Memory Write Transactions           3          49          20
    Kernel: sgemm_128x128x8_NN_vec
          1                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp                Floating Point Operations(Single Precision)  2.6450e+10  2.6450e+10  2.6450e+10
          1                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                                    FP Instructions(Double)           0           0           0
          1                                inst_fp_32                                    FP Instructions(Single)  1.3226e+10  1.3226e+10  1.3226e+10
          1                                inst_fp_16                                      HP Instructions(Half)           0           0           0
          1                              inst_integer                                       Integer Instructions   366276944   366276944   366276944
          1                  gld_requested_throughput                           Requested Global Load Throughput  210.82GB/s  210.82GB/s  210.82GB/s
          1                  gst_requested_throughput                          Requested Global Store Throughput  1.3733GB/s  1.3733GB/s  1.3733GB/s
          1                    shared_load_throughput                              Shared Memory Load Throughput  1728.4GB/s  1728.4GB/s  1728.4GB/s
          1                   shared_store_throughput                             Shared Memory Store Throughput  217.38GB/s  217.38GB/s  217.38GB/s
          1                            gld_efficiency                              Global Memory Load Efficiency      78.97%      78.97%      78.97%
          1                            gld_throughput                                     Global Load Throughput  266.97GB/s  266.97GB/s  266.97GB/s
          1                            gst_efficiency                             Global Memory Store Efficiency      88.65%      88.65%      88.65%
          1                            gst_throughput                                    Global Store Throughput  1.5491GB/s  1.5491GB/s  1.5491GB/s
          1                         shared_efficiency                                   Shared Memory Efficiency      44.51%      44.51%      44.51%
          1                           global_hit_rate                          Global Hit Rate in unified l1/tex      15.85%      15.85%      15.85%
          1                      global_load_requests   Total number of global load requests from Multiprocessor     6387976     6387976     6387976
          1                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
          1                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
          1                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
          1                           l2_tex_hit_rate                                          L2 Cache Hit Rate      64.02%      64.02%      64.02%
          1                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)    26890778    26890778    26890778
          1                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)      185415      185415      185415
          1                  shared_load_transactions                                   Shared Load Transactions    51719336    51719336    51719336
          1                 shared_store_transactions                                  Shared Store Transactions     6504960     6504960     6504960
          1                        tex_cache_hit_rate                                     Unified Cache Hit Rate      22.90%      22.90%      22.90%
          1                    tex_cache_transactions                                 Unified Cache Transactions    25551904    25551904    25551904
          1                    dram_read_transactions                            Device Memory Read Transactions     9229832     9229832     9229832
          1                   dram_write_transactions                           Device Memory Write Transactions      179454      179454      179454
    Kernel: sgemm_32x32x32_NT_vec
         11                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         11                             flop_count_sp                Floating Point Operations(Single Precision)    35831808   706920448    96839866
         11                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         11                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         11                                inst_fp_32                                    FP Instructions(Single)    18923520   354467840    49427549
         11                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         11                              inst_integer                                       Integer Instructions     2801664    23773184     4708165
         11                  gld_requested_throughput                           Requested Global Load Throughput  286.89GB/s  643.74GB/s  489.83GB/s
         11                  gst_requested_throughput                          Requested Global Store Throughput  3.8721GB/s  43.089GB/s  21.881GB/s
         11                    shared_load_throughput                              Shared Memory Load Throughput  1004.1GB/s  1351.4GB/s  1251.2GB/s
         11                   shared_store_throughput                             Shared Memory Store Throughput  591.70GB/s  710.96GB/s  679.30GB/s
         11                            gld_efficiency                              Global Memory Load Efficiency      88.79%     100.00%      98.98%
         11                            gld_throughput                                     Global Load Throughput  286.89GB/s  725.05GB/s  531.61GB/s
         11                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         11                            gst_throughput                                    Global Store Throughput  3.8721GB/s  43.089GB/s  21.881GB/s
         11                         shared_efficiency                                   Shared Memory Efficiency      67.05%      72.51%      72.01%
         11                           global_hit_rate                          Global Hit Rate in unified l1/tex       3.43%      11.17%       5.19%
         11                      global_load_requests   Total number of global load requests from Multiprocessor       32768      684032       91973
         11                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         11                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         11                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         11                           l2_tex_hit_rate                                          L2 Cache Hit Rate      72.93%      81.53%      74.89%
         11                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      122176     2725155      360449
         11                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)       16384       16384       16384
         11                  shared_load_transactions                                   Shared Load Transactions      114688     1429504      234216
         11                 shared_store_transactions                                  Shared Store Transactions       67584      722944      127162
