Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",10,1500,8,0,0,100,0,384,0,0,15.625,0,486,6248000000,6248000000,9372000000,384,6248000000,62.188,0,0,0,101376,0,0,0,0,0,66.667,20,476,11.579,384,0,0
"void kernelPointwiseApply2<TensorMaxValueOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMaxValueOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",20,6068,8,0,0,100,0,29148,0,0,0,0,29148,95335000000,95335000000,95335000000,29148,95335000000,50,0,233190,0,4664217,0,0,0,0,0,100,22975,29760,0,29148,0,0
"void gemmSN_NN_kernel<float, float, float, int=128, int=2, int=4, int=8, int=3, int=4>(cublasGemmSmallNParams<float, float, float>, float const *, float const *, float, float, int)",10,6330,57,7680,0,100,0,17152,0,801792,0,0,17152,73448000000,1643000000,73448000000,384,1643000000,50,10.145,411648,0,618496,576,12672,0,217057000000,9865000000,100,1722,17725,4.106,17152,0,0
"void at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::cunn_SoftMaxForward<int=2, float, float, at::native::_GLOBAL__N__54_tmpxft_0006f258_00000000_12_SoftMax_compute_70_cpp1_ii_826a4626::LogSoftMaxForwardEpilogue>(float*, float, int)",10,9059,25,0,128,30,0,3072,0,886784,0,0,3840,4917000000,1638000000,16392000000,1280,5464000000,0,10.119,676864,0,1598464,6144,36864,0,629507000000,104917000000,30,393,1118,90.381,3072,0,0
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",10,18572,32,256,0,12.5,0,257,0,3151,0,0,641,396000000,0,992000000,5,7000000,16.537,81.481,2123,0,13089,66,96,0,594000000,408000000,39.957,44,5282,0.464,257,0,0
"sgemm_32x32x32_NT_vec",11,25289,153,16912,0,100,0,367895,0,96839866,5.191,0,360449,517256000000,24854000000,559510000000,16384,24854000000,14.697,72.011,49427549,0,4708165,127162,234216,0,1341830000000,732047000000,98.98,15949,61637,74.893,91973,0,0
"maxwell_sgemm_128x64_tn",10,110263,120,12800,0,83.71,0,494700,0,345507430,13.53,0,644152,163896000000,13887000000,246491000000,50086,16595000000,36.02,47.856,172930278,0,12370124,147972,690201,0,914643000000,196089000000,66.492,39270,178725,71.365,494700,0,0
"sgemm_32x32x32_NT",9,147805,153,16912,0,100,0,2684700,0,692939434,78.15,0,2641382,647959000000,3965000000,2918239000000,16384,3965000000,80.214,67.172,347477333,0,23631189,709290,1398101,0,1353189000000,686508000000,22.204,40386,489298,81.519,2684700,0,0
"void indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",10,268130,32,0,0,100,0,1182201,0,0,0,0,816366,77670000000,75188000000,103843000000,591100,75189000000,52.378,0,14186400,0,510846049,0,0,0,0,0,74.795,587845,623851,15.636,1182201,0,0
"void kernelReduceContigDim<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, float, float, thrust::identity<float>, float)",20,275822,15,0,512,12.5,0,1717977,0,13962653,0,0,2059632,200165000000,26000000,240202000000,1821,212000000,47.543,37.37,14195843,0,91850138,9109,34614,0,16233000000,4271000000,83.533,25392,1733334,16.477,1717977,0,0
"void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",20,560542,14,0,0,100,0,3432821,0,160881,0,0,2145647,101756000000,98661000000,123334000000,1716410,98661000000,54.998,0,82430610,0,672726592,0,0,0,0,0,82.509,1709593,1734899,11.106,3432821,0,0
"sgemm_128x128x8_NN",9,3971901,128,16912,0,88.654,0,25006248,0,25867531150,78.402,5.451,27064841,227533000000,1507000000,1152651000000,209584,1700000000,80.023,44.514,12934482147,0,358625760,6362424,50578577,0,1864331000000,234519000000,19.74,179202,7130305,74.837,25006248,0,0
"sgemm_128x128x8_NN_vec",1,4018337,128,16912,0,88.652,0,25551904,0,26450328576,15.848,0,26890778,226370000000,1474000000,286658000000,185415,1663000000,22.902,44.512,13225884672,0,366276944,6504960,51719336,0,1855825000000,233415000000,78.969,179454,9229832,64.025,6387976,0,0
