==10981== NVPROF is profiling process 10981, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10981== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Profiling result:
==10981== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         66                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         66                             flop_count_sp                Floating Point Operations(Single Precision)      333312   289976320    28078545
         66                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         66                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         66                                inst_fp_32                                    FP Instructions(Single)      198144   145240064    14224384
         66                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         66                              inst_integer                                       Integer Instructions       68608    10616832     1318601
         66                  gld_requested_throughput                           Requested Global Load Throughput  1.8434GB/s  591.55GB/s  306.89GB/s
         66                  gst_requested_throughput                          Requested Global Store Throughput  784.49MB/s  36.768GB/s  8.4310GB/s
         66                    shared_load_throughput                              Shared Memory Load Throughput  34.092GB/s  1211.0GB/s  733.26GB/s
         66                   shared_store_throughput                             Shared Memory Store Throughput  21.451GB/s  610.60GB/s  386.77GB/s
         66                            gld_efficiency                              Global Memory Load Efficiency      99.57%     100.00%      99.87%
         66                            gld_throughput                                     Global Load Throughput  1.8514GB/s  591.55GB/s  306.89GB/s
         66                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         66                            gst_throughput                                    Global Store Throughput  784.49MB/s  36.768GB/s  8.4310GB/s
         66                         shared_efficiency                                   Shared Memory Efficiency      66.96%      75.49%      74.48%
         66                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       3.57%       1.02%
         66                      global_load_requests   Total number of global load requests from Multiprocessor         132      282240       26551
         66                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         66                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         66                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         66                           l2_tex_hit_rate                                          L2 Cache Hit Rate      14.63%      80.99%      39.44%
         66                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)         464     1128960      104904
         66                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         192        4096        2912
         66                  shared_load_transactions                                   Shared Load Transactions        2136      577792       63336
         66                 shared_store_transactions                                  Shared Store Transactions        1344      291328       33408
         66                        tex_cache_hit_rate                                     Unified Cache Hit Rate       0.36%      31.43%      25.63%
         66                    tex_cache_transactions                                 Unified Cache Transactions         528     1128960      106206
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         69                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         69                             flop_count_sp                Floating Point Operations(Single Precision)           0           0           0
         69                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         69                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         69                                inst_fp_32                                    FP Instructions(Single)        2688     1128960      101286
         69                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         69                              inst_integer                                       Integer Instructions       56412    22634688     2079476
         69                  gld_requested_throughput                           Requested Global Load Throughput  4.1052GB/s  86.604GB/s  60.237GB/s
         69                  gst_requested_throughput                          Requested Global Store Throughput  3.6533GB/s  85.901GB/s  55.451GB/s
         69                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         69                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
