Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply3<TensorMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",23,1135,11,0,0,98.756,0,608,0,2430,0,0,608,14123000000,7061000000,14138000000,304,7069000000,49.37,0,2430,0,64056,0,0,0,0,0,98.756,63,789,0,608,0,0
"void kernelPointwiseApply2<TensorSigmoidOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorSigmoidOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",10,1148,14,0,0,98.571,0,35,0,3864,0,0,35,568000000,568000000,576000000,35,576000000,49.275,0,4692,0,7292,0,0,0,0,0,98.571,14,200,0,35,0,0
"void kernelPointwiseApply2<CopyOp<float, unsigned char>, float, unsigned char, unsigned int, int=1, int=1>(OffsetInfo<unsigned char, float, unsigned char>, OffsetInfo<CopyOp<float, unsigned char>, float, unsigned int>, float, float)",13,1248,10,0,0,98.898,0,511,0,0,0,0,128,3779000000,15119000000,3785000000,511,15126000000,57.841,0,0,0,78475,0,0,0,0,0,96.781,83,304,0,511,0,0
"void kernelPointwiseApply2<TensorGTValueOp<float, unsigned char>, unsigned char, float, unsigned int, int=1, int=2>(OffsetInfo<unsigned char, unsigned char, float>, OffsetInfo<TensorGTValueOp<float, unsigned char>, unsigned char, unsigned int>, unsigned char, float)",13,1309,8,0,0,96.781,0,511,0,0,0,0,132,644000000,3500000000,3643000000,128,3506000000,74.374,0,4086,0,131605,0,0,0,0,0,34.929,128,189,70.89,511,0,0
"void kernelReduceContigDim<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, float, float, thrust::identity<float>, float)",13,1917,15,0,324,12.5,0,283,0,5307,0,0,340,3232000000,140000000,4546000000,70,1128000000,43.009,27.039,7006,0,112735,123,1167,0,73769000000,6753000000,74.749,48,508,33.508,283,0,0
"void CatArrayBatchedCopy<float, unsigned int, int=2>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",10,2025,16,0,0,63.901,0,6964,0,0,0,0,1932,6606000000,4438000000,20416000000,656,6945000000,66.543,0,3358,0,702682,0,0,0,0,0,32.343,442,653,74.37,6124,0,0
"void kernelReduceNoncontigDim_shared<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, float, float, thrust::identity<float>, float, float volatile *, int*)",10,2057,23,2064,0,75,0,46,0,756,0,0,46,396000000,16000000,528000000,2,22000000,33.333,98.992,756,0,28968,31,31,0,1426000000,1426000000,75,26,353,22.917,46,0,0
"void CatArrayBatchedCopy<float, unsigned int, int=3>(float*, CatArrInputTensor<float, unsigned int>*, OutputTensorSizeStride<unsigned int, unsigned int=4>, int, unsigned int)",1,3072,20,0,0,64.182,0,15364,0,0,0,0,4367,21740000000,18151000000,37768000000,3270,28281000000,58.454,0,33580,0,1873408,0,0,0,0,0,57.562,2065,2657,57.3,11164,0,0
"void kernelReduceNoncontigDim<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=2>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, float, float, thrust::identity<float>, float)",3,4309,32,0,0,99.988,0,48300,0,386170,0,0,58953,120885000000,5255000000,147635000000,2099,5256000000,48.609,0,402960,0,2620106,0,0,0,0,0,81.881,17601,48983,17.492,48300,0,0
