03-02 17:24 INFO     TESTING
03-02 17:24 INFO     Prepare files
03-02 17:24 INFO     Define model
03-02 17:24 INFO     	Statistics
03-02 17:24 INFO     	Create model
03-02 17:24 INFO     Check cuda
03-02 17:24 INFO     	* Cuda
03-02 17:24 INFO     Optimizer
03-02 17:24 INFO     Logger
03-02 17:24 INFO     => loading best model './checkpoint/qm9/mpnn/model_best.pth'
03-02 17:24 INFO     => loaded best model './checkpoint/qm9/mpnn/model_best.pth' (epoch 1)
03-02 17:24 INFO     Epoch: [0][20/11389]	Time 0.151 (0.189)	Data 0.000 (0.027)	Loss 0.1701 (0.1452)	Error Ratio 1.7950 (3.1165)
03-02 17:24 INFO     Epoch: [0][40/11389]	Time 0.171 (0.172)	Data 0.000 (0.014)	Loss 0.0745 (0.1380)	Error Ratio 0.4384 (2.8630)
03-02 17:24 INFO     Epoch: [0][60/11389]	Time 0.147 (0.166)	Data 0.000 (0.010)	Loss 0.0983 (0.1316)	Error Ratio 1.6323 (2.8167)
03-02 17:24 INFO     Epoch: [0][80/11389]	Time 0.158 (0.164)	Data 0.000 (0.007)	Loss 0.1409 (0.1341)	Error Ratio 1.3128 (3.0128)
03-02 17:24 INFO     Epoch: [0][100/11389]	Time 0.184 (0.163)	Data 0.000 (0.006)	Loss 0.1319 (0.1348)	Error Ratio 0.5640 (2.8541)
03-02 17:24 INFO     Epoch: [0][120/11389]	Time 0.153 (0.162)	Data 0.000 (0.005)	Loss 0.0939 (0.1326)	Error Ratio 0.7321 (2.6638)
03-02 17:24 INFO     Epoch: [0][140/11389]	Time 0.158 (0.161)	Data 0.000 (0.004)	Loss 0.1110 (0.1314)	Error Ratio 1.2259 (2.5626)
03-02 17:24 INFO     Epoch: [0][160/11389]	Time 0.157 (0.160)	Data 0.000 (0.004)	Loss 0.1025 (0.1313)	Error Ratio 0.7511 (2.6594)
03-02 17:24 INFO     Epoch: [0][180/11389]	Time 0.158 (0.159)	Data 0.000 (0.003)	Loss 0.1212 (0.1297)	Error Ratio 0.8788 (2.4923)
03-02 17:24 INFO     Epoch: [0][200/11389]	Time 0.151 (0.159)	Data 0.000 (0.003)	Loss 0.1415 (0.1296)	Error Ratio 1.1511 (2.4289)
03-02 17:25 INFO     Epoch: [0][220/11389]	Time 0.148 (0.159)	Data 0.000 (0.003)	Loss 0.1450 (0.1313)	Error Ratio 1.9121 (2.5739)
03-02 17:25 INFO     Epoch: [0][240/11389]	Time 0.147 (0.159)	Data 0.000 (0.003)	Loss 0.1690 (0.1315)	Error Ratio 3.7330 (2.4808)
03-02 17:25 INFO     Epoch: [0][260/11389]	Time 0.170 (0.158)	Data 0.000 (0.002)	Loss 0.1590 (0.1329)	Error Ratio 1.1964 (3.2697)
03-02 17:25 INFO     Epoch: [0][280/11389]	Time 0.144 (0.158)	Data 0.000 (0.002)	Loss 0.1190 (0.1335)	Error Ratio 1.1294 (3.1790)
03-02 17:25 INFO     Epoch: [0][300/11389]	Time 0.130 (0.158)	Data 0.000 (0.002)	Loss 0.1030 (0.1339)	Error Ratio 0.6302 (3.0392)
03-02 17:25 INFO     Epoch: [0][320/11389]	Time 0.161 (0.158)	Data 0.000 (0.002)	Loss 0.1468 (0.1342)	Error Ratio 0.5597 (2.9170)
03-02 17:25 INFO     Epoch: [0][340/11389]	Time 0.151 (0.158)	Data 0.000 (0.002)	Loss 0.1326 (0.1332)	Error Ratio 0.6092 (2.8413)
03-02 17:25 INFO     Epoch: [0][360/11389]	Time 0.157 (0.158)	Data 0.000 (0.002)	Loss 0.1645 (0.1339)	Error Ratio 1.5687 (2.7992)
03-02 17:25 INFO     Epoch: [0][380/11389]	Time 0.157 (0.159)	Data 0.000 (0.002)	Loss 0.1022 (0.1331)	Error Ratio 0.6387 (2.8817)
03-02 17:25 INFO     Epoch: [0][400/11389]	Time 0.151 (0.159)	Data 0.000 (0.002)	Loss 0.1221 (0.1339)	Error Ratio 2.2418 (2.8038)
03-02 17:25 INFO     Epoch: [0][420/11389]	Time 0.168 (0.159)	Data 0.000 (0.002)	Loss 0.1268 (0.1344)	Error Ratio 2.6701 (2.7327)
03-02 17:25 INFO     Epoch: [0][440/11389]	Time 0.156 (0.159)	Data 0.000 (0.002)	Loss 0.0775 (0.1337)	Error Ratio 1.0464 (2.6513)
03-02 17:25 INFO     Epoch: [0][460/11389]	Time 0.147 (0.159)	Data 0.000 (0.001)	Loss 0.5935 (0.1353)	Error Ratio 0.6765 (2.6232)
03-02 17:25 INFO     Epoch: [0][480/11389]	Time 0.149 (0.159)	Data 0.000 (0.001)	Loss 0.1755 (0.1349)	Error Ratio 0.8730 (2.6225)
03-02 17:25 INFO     Epoch: [0][500/11389]	Time 0.145 (0.159)	Data 0.000 (0.001)	Loss 0.0766 (0.1343)	Error Ratio 1.0210 (2.6373)
03-02 17:25 INFO     Epoch: [0][520/11389]	Time 0.157 (0.159)	Data 0.000 (0.001)	Loss 0.2273 (0.1353)	Error Ratio 12.6856 (2.6248)
03-02 17:25 INFO     Epoch: [0][540/11389]	Time 0.165 (0.158)	Data 0.000 (0.001)	Loss 0.1845 (0.1362)	Error Ratio 2.1211 (2.5944)
03-02 17:25 INFO     Epoch: [0][560/11389]	Time 0.156 (0.159)	Data 0.000 (0.001)	Loss 0.2027 (0.1381)	Error Ratio 1.4033 (2.5812)
