03-02 16:53 INFO     TESTING
03-02 16:53 INFO     Prepare files
03-02 16:53 INFO     Define model
03-02 16:53 INFO     	Statistics
03-02 16:53 INFO     	Create model
03-02 16:53 INFO     Check cuda
03-02 16:53 INFO     	* Cuda
03-02 16:53 INFO     Optimizer
03-02 16:53 INFO     Logger
03-02 16:53 INFO     => no best model found at './checkpoint/qm9/mpnn/model_best.pth'
03-02 16:53 INFO     Epoch: [0][20/11389]	Time 0.148 (0.180)	Data 0.000 (0.024)	Loss 0.8886 (0.9960)	Error Ratio 1.1510 (1.1216)
03-02 16:53 INFO     Epoch: [0][40/11389]	Time 0.139 (0.169)	Data 0.000 (0.012)	Loss 0.5341 (0.9633)	Error Ratio 1.2925 (1.4306)
03-02 16:53 INFO     Epoch: [0][60/11389]	Time 0.126 (0.162)	Data 0.000 (0.008)	Loss 0.9179 (0.9141)	Error Ratio 0.9302 (1.4032)
03-02 16:53 INFO     Epoch: [0][80/11389]	Time 0.151 (0.159)	Data 0.000 (0.006)	Loss 0.5392 (0.8861)	Error Ratio 1.1573 (1.6527)
03-02 16:53 INFO     Epoch: [0][100/11389]	Time 0.144 (0.158)	Data 0.000 (0.005)	Loss 0.6148 (0.8515)	Error Ratio 3.0678 (1.9447)
03-02 16:53 INFO     Epoch: [0][120/11389]	Time 0.133 (0.157)	Data 0.000 (0.004)	Loss 0.5110 (0.8493)	Error Ratio 19.8893 (2.3365)
03-02 16:53 INFO     Epoch: [0][140/11389]	Time 0.145 (0.157)	Data 0.000 (0.004)	Loss 1.1056 (0.8267)	Error Ratio 3.4281 (2.6460)
03-02 16:53 INFO     Epoch: [0][160/11389]	Time 0.140 (0.156)	Data 0.000 (0.003)	Loss 0.7189 (0.8287)	Error Ratio 1.8091 (2.5657)
03-02 16:53 INFO     Epoch: [0][180/11389]	Time 0.140 (0.156)	Data 0.000 (0.003)	Loss 0.5731 (0.8102)	Error Ratio 1.5766 (2.5150)
03-02 16:53 INFO     Epoch: [0][200/11389]	Time 0.151 (0.156)	Data 0.000 (0.003)	Loss 0.9187 (0.8062)	Error Ratio 1.0040 (2.4435)
03-02 16:54 INFO     Epoch: [0][220/11389]	Time 0.153 (0.155)	Data 0.000 (0.002)	Loss 0.6203 (0.7856)	Error Ratio 1.2868 (2.3692)
03-02 16:54 INFO     Epoch: [0][240/11389]	Time 0.167 (0.155)	Data 0.000 (0.002)	Loss 0.4422 (0.7805)	Error Ratio 1.7107 (2.3615)
03-02 16:54 INFO     Epoch: [0][260/11389]	Time 0.154 (0.156)	Data 0.000 (0.002)	Loss 0.4059 (0.7771)	Error Ratio 1.4324 (2.4221)
03-02 16:54 INFO     Epoch: [0][280/11389]	Time 0.156 (0.156)	Data 0.000 (0.002)	Loss 0.4619 (0.7670)	Error Ratio 3.9520 (2.4528)
03-02 16:54 INFO     Epoch: [0][300/11389]	Time 0.138 (0.156)	Data 0.000 (0.002)	Loss 0.7237 (0.7632)	Error Ratio 2.1029 (2.4365)
03-02 16:54 INFO     Epoch: [0][320/11389]	Time 0.141 (0.155)	Data 0.000 (0.002)	Loss 0.6407 (0.7622)	Error Ratio 1.1367 (2.4682)
03-02 16:54 INFO     Epoch: [0][340/11389]	Time 0.164 (0.155)	Data 0.000 (0.002)	Loss 0.6490 (0.7575)	Error Ratio 2.6025 (2.5146)
03-02 16:54 INFO     Epoch: [0][360/11389]	Time 0.152 (0.155)	Data 0.000 (0.002)	Loss 0.3947 (0.7527)	Error Ratio 1.7023 (2.4922)
03-02 16:54 INFO     Epoch: [0][380/11389]	Time 0.139 (0.155)	Data 0.000 (0.002)	Loss 0.9248 (0.7521)	Error Ratio 1.2597 (2.5353)
03-02 16:54 INFO     Epoch: [0][400/11389]	Time 0.150 (0.154)	Data 0.000 (0.001)	Loss 0.5279 (0.7449)	Error Ratio 2.4316 (2.5652)
03-02 16:54 INFO     Epoch: [0][420/11389]	Time 0.152 (0.154)	Data 0.000 (0.001)	Loss 0.5929 (0.7416)	Error Ratio 1.3204 (2.5335)
03-02 16:54 INFO     Epoch: [0][440/11389]	Time 0.138 (0.154)	Data 0.000 (0.001)	Loss 0.8307 (0.7438)	Error Ratio 1.9866 (2.4931)
03-02 16:54 INFO     Epoch: [0][460/11389]	Time 0.162 (0.154)	Data 0.000 (0.001)	Loss 0.4638 (0.7451)	Error Ratio 1.2844 (2.4497)
03-02 16:54 INFO     Epoch: [0][480/11389]	Time 0.162 (0.154)	Data 0.000 (0.001)	Loss 0.4613 (0.7428)	Error Ratio 1.4669 (2.4841)
03-02 16:54 INFO     Epoch: [0][500/11389]	Time 0.172 (0.155)	Data 0.000 (0.001)	Loss 0.3687 (0.7360)	Error Ratio 15.5009 (2.6133)
03-02 16:54 INFO     Epoch: [0][520/11389]	Time 0.151 (0.155)	Data 0.000 (0.001)	Loss 0.8633 (0.7320)	Error Ratio 1.5345 (2.5815)
03-02 16:54 INFO     Epoch: [0][540/11389]	Time 0.152 (0.155)	Data 0.000 (0.001)	Loss 0.3952 (0.7269)	Error Ratio 1.4241 (2.6039)
03-02 16:54 INFO     Epoch: [0][560/11389]	Time 0.177 (0.155)	Data 0.000 (0.001)	Loss 0.2582 (0.7210)	Error Ratio 1.3251 (2.5868)
03-02 16:54 INFO     Epoch: [0][580/11389]	Time 0.178 (0.155)	Data 0.000 (0.001)	Loss 0.5891 (0.7145)	Error Ratio 1.4423 (2.6415)
03-02 16:55 INFO     Epoch: [0][600/11389]	Time 0.136 (0.155)	Data 0.000 (0.001)	Loss 0.6478 (0.7096)	Error Ratio 1.1310 (2.8543)
