03-02 11:57 INFO     TESTING
03-02 11:57 INFO     Prepare files
03-02 11:57 INFO     Define model
03-02 11:57 INFO     	Statistics
03-02 11:57 INFO     	Create model
03-02 11:57 INFO     Check cuda
03-02 11:57 INFO     	* Cuda
03-02 11:57 INFO     Optimizer
03-02 11:57 INFO     Logger
03-02 11:57 INFO     => loading best model './checkpoint/qm9/mpnn/model_best.pth'
03-02 11:57 INFO     => loaded best model './checkpoint/qm9/mpnn/model_best.pth' (epoch 1)
03-02 11:58 INFO     Epoch: [0][20/11389]	Time 0.162 (0.194)	Data 0.000 (0.022)	Loss 0.1660 (0.1139)	Error Ratio 1.1932 (4.3678)
03-02 11:58 INFO     Epoch: [0][40/11389]	Time 0.165 (0.179)	Data 0.000 (0.012)	Loss 0.1079 (0.1103)	Error Ratio 0.8661 (2.9258)
03-02 11:58 INFO     Epoch: [0][60/11389]	Time 0.163 (0.175)	Data 0.000 (0.008)	Loss 0.0990 (0.1113)	Error Ratio 1.0889 (5.9748)
03-02 11:58 INFO     Epoch: [0][80/11389]	Time 0.145 (0.171)	Data 0.000 (0.006)	Loss 0.1897 (0.1153)	Error Ratio 0.5003 (5.4294)
03-02 11:58 INFO     Epoch: [0][100/11389]	Time 0.176 (0.170)	Data 0.000 (0.005)	Loss 0.0952 (0.1173)	Error Ratio 0.5173 (4.7027)
03-02 11:58 INFO     Epoch: [0][120/11389]	Time 0.143 (0.169)	Data 0.000 (0.004)	Loss 0.0912 (0.1168)	Error Ratio 2.9032 (4.0992)
03-02 11:58 INFO     Epoch: [0][140/11389]	Time 0.150 (0.168)	Data 0.000 (0.004)	Loss 0.0906 (0.1183)	Error Ratio 2.3516 (3.8683)
03-02 11:58 INFO     Epoch: [0][160/11389]	Time 0.150 (0.167)	Data 0.000 (0.003)	Loss 0.1048 (0.1183)	Error Ratio 1.3388 (3.6051)
03-02 11:58 INFO     Epoch: [0][180/11389]	Time 0.161 (0.167)	Data 0.000 (0.003)	Loss 0.1107 (0.1167)	Error Ratio 4.1105 (3.7097)
03-02 11:58 INFO     Epoch: [0][200/11389]	Time 0.162 (0.167)	Data 0.000 (0.003)	Loss 0.0948 (0.1163)	Error Ratio 1.1105 (3.4518)
03-02 11:58 INFO     Epoch: [0][220/11389]	Time 0.176 (0.166)	Data 0.000 (0.002)	Loss 0.1239 (0.1176)	Error Ratio 0.6343 (3.5352)
03-02 11:58 INFO     Epoch: [0][240/11389]	Time 0.177 (0.166)	Data 0.000 (0.002)	Loss 0.1111 (0.1168)	Error Ratio 0.5895 (3.4464)
03-02 11:58 INFO     Epoch: [0][260/11389]	Time 0.179 (0.166)	Data 0.000 (0.002)	Loss 0.0793 (0.1169)	Error Ratio 0.6510 (3.7302)
03-02 11:58 INFO     Epoch: [0][280/11389]	Time 0.162 (0.166)	Data 0.000 (0.002)	Loss 0.1786 (0.1199)	Error Ratio 0.5433 (3.5865)
03-02 11:58 INFO     Epoch: [0][300/11389]	Time 0.153 (0.167)	Data 0.000 (0.002)	Loss 0.0679 (0.1221)	Error Ratio 0.4932 (3.5684)
03-02 11:58 INFO     Epoch: [0][320/11389]	Time 0.153 (0.166)	Data 0.000 (0.002)	Loss 0.0818 (0.1217)	Error Ratio 19.3005 (3.5059)
03-02 11:58 INFO     Epoch: [0][340/11389]	Time 0.168 (0.166)	Data 0.000 (0.002)	Loss 0.0877 (0.1228)	Error Ratio 0.5720 (3.3517)
03-02 11:58 INFO     Epoch: [0][360/11389]	Time 0.165 (0.166)	Data 0.000 (0.002)	Loss 0.1167 (0.1226)	Error Ratio 0.5198 (3.2308)
03-02 11:59 INFO     Epoch: [0][380/11389]	Time 0.158 (0.166)	Data 0.000 (0.001)	Loss 0.1661 (0.1228)	Error Ratio 1.8435 (3.1340)
03-02 11:59 INFO     Epoch: [0][400/11389]	Time 0.178 (0.166)	Data 0.000 (0.001)	Loss 0.1145 (0.1226)	Error Ratio 0.6580 (3.0155)
03-02 11:59 INFO     Epoch: [0][420/11389]	Time 0.163 (0.166)	Data 0.000 (0.001)	Loss 0.2007 (0.1238)	Error Ratio 0.8397 (2.9119)
03-02 11:59 INFO     Epoch: [0][440/11389]	Time 0.151 (0.166)	Data 0.000 (0.001)	Loss 0.0999 (0.1238)	Error Ratio 0.5288 (2.9337)
03-02 11:59 INFO     Epoch: [0][460/11389]	Time 0.155 (0.166)	Data 0.000 (0.001)	Loss 0.0913 (0.1236)	Error Ratio 0.8079 (2.8936)
03-02 11:59 INFO     Epoch: [0][480/11389]	Time 0.158 (0.166)	Data 0.000 (0.001)	Loss 0.1336 (0.1232)	Error Ratio 0.9880 (2.8179)
