03-02 11:26 INFO     TESTING
03-02 11:26 INFO     Prepare files
03-02 11:26 INFO     Define model
03-02 11:26 INFO     	Statistics
03-02 11:26 INFO     	Create model
03-02 11:26 INFO     Check cuda
03-02 11:26 INFO     	* Cuda
03-02 11:26 INFO     Optimizer
03-02 11:26 INFO     Logger
03-02 11:26 INFO     => loading best model './checkpoint/qm9/mpnn/model_best.pth'
03-02 11:26 INFO     => loaded best model './checkpoint/qm9/mpnn/model_best.pth' (epoch 1)
03-02 11:26 INFO     Epoch: [0][20/11389]	Time 0.151 (0.190)	Data 0.000 (0.029)	Loss 0.0889 (0.1510)	Error Ratio 15.5593 (1.7328)
03-02 11:26 INFO     Epoch: [0][40/11389]	Time 0.156 (0.174)	Data 0.000 (0.015)	Loss 0.1057 (0.1427)	Error Ratio 1.0383 (1.4479)
03-02 11:26 INFO     Epoch: [0][60/11389]	Time 0.147 (0.167)	Data 0.000 (0.010)	Loss 0.1114 (0.1360)	Error Ratio 0.7036 (1.6879)
03-02 11:26 INFO     Epoch: [0][80/11389]	Time 0.142 (0.165)	Data 0.000 (0.008)	Loss 0.0978 (0.1289)	Error Ratio 0.6284 (1.6035)
03-02 11:27 INFO     Epoch: [0][100/11389]	Time 0.166 (0.164)	Data 0.000 (0.006)	Loss 0.2129 (0.1361)	Error Ratio 1.2466 (1.6220)
03-02 11:27 INFO     Epoch: [0][120/11389]	Time 0.148 (0.162)	Data 0.000 (0.005)	Loss 0.1599 (0.1365)	Error Ratio 0.7870 (1.6198)
03-02 11:27 INFO     Epoch: [0][140/11389]	Time 0.142 (0.161)	Data 0.000 (0.005)	Loss 0.1269 (0.1353)	Error Ratio 1.6839 (1.6595)
03-02 11:27 INFO     Epoch: [0][160/11389]	Time 0.142 (0.161)	Data 0.000 (0.004)	Loss 0.1514 (0.1356)	Error Ratio 1.1081 (1.5848)
03-02 11:27 INFO     Epoch: [0][180/11389]	Time 0.142 (0.160)	Data 0.000 (0.004)	Loss 0.1131 (0.1351)	Error Ratio 0.7977 (1.5466)
03-02 11:27 INFO     Epoch: [0][200/11389]	Time 0.169 (0.160)	Data 0.000 (0.003)	Loss 0.1107 (0.1340)	Error Ratio 0.5650 (1.6225)
03-02 11:27 INFO     Epoch: [0][220/11389]	Time 0.180 (0.160)	Data 0.000 (0.003)	Loss 0.1956 (0.1399)	Error Ratio 1.1215 (1.6961)
03-02 11:27 INFO     Epoch: [0][240/11389]	Time 0.167 (0.159)	Data 0.000 (0.003)	Loss 0.1309 (0.1382)	Error Ratio 0.5821 (1.6657)
03-02 11:27 INFO     Epoch: [0][260/11389]	Time 0.166 (0.159)	Data 0.000 (0.003)	Loss 0.0519 (0.1362)	Error Ratio 0.4904 (1.6280)
03-02 11:27 INFO     Epoch: [0][280/11389]	Time 0.166 (0.159)	Data 0.000 (0.002)	Loss 0.0999 (0.1399)	Error Ratio 1.0996 (1.7022)
03-02 11:27 INFO     Epoch: [0][300/11389]	Time 0.166 (0.159)	Data 0.000 (0.002)	Loss 0.1713 (0.1397)	Error Ratio 0.6668 (1.6540)
03-02 11:27 INFO     Epoch: [0][320/11389]	Time 0.170 (0.159)	Data 0.000 (0.002)	Loss 0.1015 (0.1382)	Error Ratio 0.9414 (1.6668)
03-02 11:27 INFO     Epoch: [0][340/11389]	Time 0.157 (0.159)	Data 0.000 (0.002)	Loss 0.1435 (0.1366)	Error Ratio 1.2453 (3.2636)
03-02 11:27 INFO     Epoch: [0][360/11389]	Time 0.155 (0.158)	Data 0.000 (0.002)	Loss 0.1705 (0.1359)	Error Ratio 1.5962 (3.2394)
03-02 11:27 INFO     Epoch: [0][380/11389]	Time 0.153 (0.158)	Data 0.000 (0.002)	Loss 0.2396 (0.1361)	Error Ratio 3.9050 (3.1406)
03-02 11:27 INFO     Epoch: [0][400/11389]	Time 0.141 (0.158)	Data 0.000 (0.002)	Loss 0.1296 (0.1367)	Error Ratio 1.8054 (3.1327)
03-02 11:27 INFO     Epoch: [0][420/11389]	Time 0.148 (0.157)	Data 0.000 (0.002)	Loss 0.1087 (0.1366)	Error Ratio 1.2880 (3.0597)
03-02 11:27 INFO     Epoch: [0][440/11389]	Time 0.144 (0.157)	Data 0.000 (0.002)	Loss 0.1352 (0.1371)	Error Ratio 1.1900 (3.0369)
03-02 11:27 INFO     Epoch: [0][460/11389]	Time 0.136 (0.157)	Data 0.000 (0.002)	Loss 0.0901 (0.1382)	Error Ratio 1.5752 (2.9549)
03-02 11:28 INFO     Epoch: [0][480/11389]	Time 0.186 (0.157)	Data 0.000 (0.002)	Loss 0.1441 (0.1397)	Error Ratio 0.6445 (2.9220)
03-02 11:28 INFO     Epoch: [0][500/11389]	Time 0.154 (0.157)	Data 0.000 (0.002)	Loss 0.0721 (0.1387)	Error Ratio 8.1030 (2.8583)
03-02 11:28 INFO     Epoch: [0][520/11389]	Time 0.141 (0.157)	Data 0.000 (0.001)	Loss 0.3017 (0.1380)	Error Ratio 0.5619 (2.7972)
03-02 11:28 INFO     Epoch: [0][540/11389]	Time 0.141 (0.157)	Data 0.000 (0.001)	Loss 0.0855 (0.1370)	Error Ratio 0.7186 (2.7514)
03-02 11:28 INFO     Epoch: [0][560/11389]	Time 0.141 (0.157)	Data 0.000 (0.001)	Loss 0.1017 (0.1363)	Error Ratio 1.1892 (2.6928)
03-02 11:28 INFO     Epoch: [0][580/11389]	Time 0.179 (0.157)	Data 0.000 (0.001)	Loss 0.0868 (0.1359)	Error Ratio 0.5574 (2.6360)
03-02 11:28 INFO     Epoch: [0][600/11389]	Time 0.148 (0.157)	Data 0.000 (0.001)	Loss 0.1096 (0.1353)	Error Ratio 0.7199 (4.9085)
03-02 11:28 INFO     Epoch: [0][620/11389]	Time 0.154 (0.157)	Data 0.000 (0.001)	Loss 0.1611 (0.1344)	Error Ratio 0.8357 (4.7878)
03-02 11:28 INFO     Epoch: [0][640/11389]	Time 0.146 (0.157)	Data 0.000 (0.001)	Loss 0.1290 (0.1344)	Error Ratio 7.6266 (4.7382)
03-02 11:28 INFO     Epoch: [0][660/11389]	Time 0.156 (0.157)	Data 0.000 (0.001)	Loss 0.1033 (0.1355)	Error Ratio 0.9375 (4.8657)
03-02 11:28 INFO     Epoch: [0][680/11389]	Time 0.154 (0.157)	Data 0.000 (0.001)	Loss 0.1397 (0.1361)	Error Ratio 1.4164 (4.8430)
03-02 11:28 INFO     Epoch: [0][700/11389]	Time 0.195 (0.157)	Data 0.000 (0.001)	Loss 0.0668 (0.1366)	Error Ratio 3.1083 (5.1379)
03-02 11:28 INFO     Epoch: [0][720/11389]	Time 0.160 (0.157)	Data 0.000 (0.001)	Loss 0.1058 (0.1363)	Error Ratio 0.8194 (5.1295)
03-02 11:28 INFO     Epoch: [0][740/11389]	Time 0.153 (0.157)	Data 0.000 (0.001)	Loss 0.1139 (0.1358)	Error Ratio 2.2444 (5.0567)
03-02 11:28 INFO     Epoch: [0][760/11389]	Time 0.135 (0.157)	Data 0.000 (0.001)	Loss 0.0941 (0.1355)	Error Ratio 2.0995 (4.9828)
03-02 11:28 INFO     Epoch: [0][780/11389]	Time 0.146 (0.156)	Data 0.000 (0.001)	Loss 0.1061 (0.1355)	Error Ratio 2.2574 (4.9192)
03-02 11:28 INFO     Epoch: [0][800/11389]	Time 0.156 (0.156)	Data 0.000 (0.001)	Loss 0.0938 (0.1355)	Error Ratio 0.8481 (4.8356)
03-02 11:28 INFO     Epoch: [0][820/11389]	Time 0.148 (0.156)	Data 0.000 (0.001)	Loss 0.1664 (0.1356)	Error Ratio 0.8401 (4.7702)
03-02 11:28 INFO     Epoch: [0][840/11389]	Time 0.153 (0.156)	Data 0.000 (0.001)	Loss 0.1095 (0.1360)	Error Ratio 3.2785 (4.6858)
