Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float)",250,888,8,0,0,99.09,0,0,0,0,0,0,0,0,2336000000,0,112,2338000000,49.666,0,896,0,14935,0,0,0,0,0,0,16,191,0,0,0,0
"cudnn::maxwell::gemm::computeBOffsetsKernel(cudnn::maxwell::gemm::ComputeBOffsetsParams)",480,1029,12,0,0,43.49,0,0,0,0,0,0,0,0,27000000,0,3,65000000,11.181,0,0,0,1337,0,0,0,0,0,0,13,251,0,0,0,0
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",740,1050,10,0,0,81.28,0,79,0,312,0,0,79,1434000000,716000000,1449000000,39,724000000,40.563,0,312,0,7656,0,0,0,0,0,81.28,16,273,33.333,79,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,1216,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,20000000,0,0,0,0,2058,0,0,0,0,0,0,13,201,0,0,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",590,1358,11,0,0,99.622,0,3391,0,13561,0,0,3390,46690000000,23344000000,46698000000,1695,23348000000,49.809,0,13561,0,353841,0,0,0,0,0,99.622,924,3640,0,3391,0,0
"cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",230,1368,16,0,0,67.15,0,0,0,0,0,0,0,0,1371000000,0,85,1607000000,44.581,0,0,0,28972,0,0,0,0,0,0,41,202,61.237,0,0,0
"void kernelPointwiseApply2<CopyOp<long, long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, long, long>, OffsetInfo<CopyOp<long, long>, long, unsigned int>, long, long)",10,1379,8,0,0,95.068,0,98,0,0,0,0,194,1652000000,1652000000,3310000000,97,1659000000,0,0,0,0,9286,0,0,0,0,0,48.939,35,337,0,49,0,0
"void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",120,1420,10,0,0,98.887,0,955,0,0,0,0,955,11623000000,7693000000,15144000000,485,7699000000,48.557,0,3884,0,90879,0,0,0,0,0,76.66,107,1168,0,955,0,0
"cudnn::maxwell::gemm::computeWgradOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",250,2065,14,0,0,9.375,0,0,0,0,0,0,0,0,2642000000,0,1553,28186000000,0,0,0,0,225660,0,0,0,0,0,0,145,272,97.273,0,0,0
