Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Shared Memory Load Throughput(bytes/sec),Floating Point Operations(Half Precision),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",20,1764,8,0,0,47.368,0,0,0,0,0,0,0,0,162000000,0,19,344000000,0,0,0,0,1148,0,0,0,0,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",10,2071,10,0,0,97.656,504,0,0,0,0,0,500,7723000000,482000000,7723000000,32,493000000,15.016,0,0,0,27096,0,0,0,0,0,100
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",10,2073,8,0,0,100,126,0,0,0,74.603,0,32,481000000,3857000000,1943000000,250,3857000000,25,0,0,0,23096,0,0,0,0,0,24.802
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17div_constant_implIfEEvRNS_14TensorIteratorET_EUlfE_EEvS5_RKS6_EUliE_EEviT1_",10,2861,8,0,0,99.998,7394,0,0,59151,50,0,7394,82693000000,82693000000,82694000000,7394,82694000000,50,0,59151,0,828596,0,0,0,0,0,99.998
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",10,3112,18,6528,0,37.5,1000,0,0,0,40,0,750,3855000000,3855000000,7711000000,1000,10282000000,46.154,29.172,36000,0,432064,8048,12000,493572000000,0,331022000000,50
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",20,3936,72,0,4112,76.095,3036,0,0,0,64.348,0,1244,7854000000,2189000000,25195000000,354,2877000000,60.346,62.693,0,0,458632,2497,3961,128807000000,0,81199000000,31.21
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",20,4585,32,0,0,99.975,4932,0,0,0,0,0,4930,34401000000,34401000000,34406000000,4930,34409000000,0,0,39434,0,1942273,0,0,0,0,0,99.985
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",40,5086,8,0,0,100,0,0,0,0,0,0,0,0,403128000000,0,64080,403128000000,50,0,0,0,7178516,0,0,0,0,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",10,5810,38,0,0,50,504,0,0,0,34.88,0,814,2753000000,1376000000,4482000000,500,2753000000,24.914,0,0,0,63048,0,0,0,0,0,61.425
"void kernelTransformReduceOuterDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, unsigned int, thrust::pair<float, long>, float)",1640,6241,24,0,0,100,2643,0,0,0,50,0,1321,6774000000,3697000000,6774000000,721,3697000000,48.076,0,21144,0,102349,0,0,0,0,0,100
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",10,6844,32,0,0,25,296,0,0,0,0,50,282,1168000000,1000000,1168000000,33,4000000,16.887,0,0,0,39370,0,0,0,0,0,100
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",10,6942,40,0,0,100,1128,0,0,0,50.032,0,781,2951000000,1728000000,3599000000,375,1728000000,50.022,0,0,0,249144,0,0,0,0,0,82.01
"void indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",1780,8160,32,0,0,100,39407,0,0,0,57.75,0,33210,79017000000,77262000000,130226000000,19703,77262000000,54.566,0,472882,0,17101539,0,0,0,0,0,88.2
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfZNS0_15sum_kernel_implIffEEvRNS_14TensorIteratorEEUlffE_EEEEvT0_",10,11317,27,0,0,99.998,59152,0,0,473208,22.685,0,205794,167247000000,20905000000,581877000000,7394,20905000000,24.123,0,473208,0,7884676,0,0,0,0,0,28.743
"void kernelPointwiseApply2<LeakyReLUUpdateOutput<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<LeakyReLUUpdateOutput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",20,16432,8,0,0,100,108368,0,0,398681,50,0,108368,211035000000,211035000000,211035000000,108368,211035000000,50,0,1265625,0,17340416,0,0,0,0,0,100
