Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,1914,8,0,0,12.5,0,0,0,0,0,0,0,0,1000000,1,0,16000000,0,0,0,0,2058,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>, thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>(thrust::device_ptr<long>, long)",20,1949,19,0,0,75,0,0,0,0,0,0,0,0,11000000,1,0,15000000,0,0,0,0,3635,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",60,1991,8,0,0,49.468,0,0,0,0,0,0,0,0,746000000,94,0,1509000000,0,0,0,0,4140,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",40,2018,8,0,0,47.368,0,0,0,0,0,0,0,0,142000000,19,0,300000000,0,0,0,0,1148,0,0,0,0,0,0
"void kernelPointwiseApply2<CopyOp<long, unsigned char>, long, unsigned char, unsigned int, int=1, int=1>(OffsetInfo<unsigned char, long, unsigned char>, OffsetInfo<CopyOp<long, unsigned char>, long, unsigned int>, long, long)",10,2121,8,0,0,100,63,0,0,0,74.603,0,16,235000000,1885000000,125,950000000,1885000000,25,0,0,0,10048,0,0,0,0,0,24.802
"void kernelPointwiseApply1<TensorAddConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorAddConstantOp<float>, float, unsigned int>, float, float)",40,2143,8,0,0,84.375,252,0,0,2016,37.5,0,252,3762000000,3762000000,252,3765000000,3765000000,37.5,0,2016,0,29895,0,0,0,0,0,84.375
"void kernelPointwiseApply1<TensorMulConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorMulConstantOp<float>, float, unsigned int>, float, float)",80,2169,8,0,0,84.375,252,0,0,2016,37.5,0,252,3717000000,3717000000,252,3720000000,3720000000,37.5,0,2016,0,29895,0,0,0,0,0,84.375
"void kernelPointwiseApply2<TensorCAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorCAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",40,2182,10,0,0,84.375,504,0,0,4033,37.5,0,504,7393000000,3696000000,252,7398000000,3698000000,37.5,0,2016,0,41996,0,0,0,0,0,84.375
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",40,2182,10,0,0,84.375,504,0,0,2016,37.5,0,504,7392000000,3695000000,252,7396000000,3698000000,37.5,0,2016,0,41996,0,0,0,0,0,84.375
"void kernelPointwiseApply3<TensorCAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorCAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2191,11,0,0,84.375,504,0,0,4033,37.5,0,504,7361000000,3680000000,252,7366000000,3682000000,37.5,0,2016,0,54096,0,0,0,0,0,84.375
"void kernelPointwiseApply3<TensorAddCMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2199,12,0,0,84.375,756,0,0,6050,37.5,0,756,11001000000,3666000000,252,11008000000,3669000000,37.5,0,4033,0,54096,0,0,0,0,0,84.375
"void kernelPointwiseApply2<TensorMulConstantOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorMulConstantOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",40,2213,14,0,0,100,71,0,0,0,0,0,70,1011000000,1011000000,70,1011000000,1011000000,0,0,0,0,10448,0,0,0,0,0,100
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",150,2250,10,0,0,55,0,0,0,0,0,0,0,0,154087000000,10837,0,154093000000,0,0,0,0,608377,0,0,0,0,0,0
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",10,2263,32,0,0,100,46,0,0,0,0,0,45,635000000,635000000,45,635000000,635000000,0,0,0,0,7088,0,0,0,0,0,100
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",10,2288,10,0,0,97.656,252,0,0,0,0,0,250,3495000000,218000000,16,3495000000,223000000,15.016,0,0,0,13548,0,0,0,0,0,100
"void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)",10,2346,18,0,0,33.333,0,0,0,0,0,0,0,0,163000000,36,0,490000000,10,0,0,0,19968,0,0,0,0,0,0
"void kernelPointwiseApply2<Tensor_sqrt_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_sqrt_Float_Op)",40,2354,10,0,0,84.375,252,0,0,14117,37.5,0,252,3426000000,3426000000,252,3428000000,3428000000,37.5,0,12100,0,46029,0,0,0,0,0,84.375
"void kernelPointwiseApply3<TensorAddOp<long>, long, long, long, unsigned int, int=1, int=2, int=2>(OffsetInfo<TensorAddOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, OffsetInfo<long, long, int=2>, long, long)",20,2377,10,0,0,100,422,0,0,0,59.208,0,114,1268000000,2826000000,210,1534000000,2826000000,33.953,0,0,0,46096,0,0,0,0,0,82.379
"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",40,2427,23,0,0,100,71,0,0,0,0,0,70,922000000,922000000,70,922000000,922000000,0,0,280,0,15488,0,0,0,0,0,100
"void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",20,2535,32,0,0,98.78,211,0,0,0,21.622,0,338,2649000000,1324000000,105,4271000000,1330000000,30.874,0,0,0,27616,0,0,0,0,0,63.876
"void kernelPointwiseApply2<TensorTakeOp<long, int, int=-2>, long, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorTakeOp<long, int, int=-2>, long>, OffsetInfo<int=-2, TensorTakeOp<long, int, int=-2>, long>, TensorTakeOp<long, int, int=-2>, long)",20,2543,32,0,0,100,106,0,0,0,0,0,140,1320000000,880000000,70,1760000000,880000000,0,0,0,0,9888,0,0,0,0,0,75
"void kernelPointwiseApply3<TensorAddCDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2630,14,0,0,84.375,756,0,0,34284,37.5,0,756,9199000000,3066000000,252,9204000000,3068000000,37.5,0,22184,0,54096,0,0,0,0,0,84.375
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>(thrust::use_default, thrust::use_default)",120,2751,10,0,0,100,0,0,0,0,0,0,0,0,315110000000,27092,0,315110000000,0,0,0,0,922608,0,0,0,0,0,0
"void kernelPointwiseApply2<TensorPutAccumulateOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorPutAccumulateOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorPutAccumulateOp<float, int, int=-2>, long>, TensorPutAccumulateOp<float, int, int=-2>, float)",10,2923,32,0,0,97.826,184,0,0,180,38.978,0,191,1964000000,245000000,23,2090000000,251000000,40.223,0,180,0,9600,0,0,0,0,0,93.979
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",10,3106,18,6528,0,37.5,500,0,0,0,40,0,375,1931000000,1931000000,500,3863000000,5150000000,46.154,29.172,18000,0,216032,4024,6000,0,247262000000,165830000000,50
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceAdd<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",10,3812,28,0,8192,25,126,0,0,0,0,0,125,1048000000,1000000,1,1048000000,8000000,0,81.722,1024,0,31815,66,93,0,3122000000,2215000000,100
