Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),Unified Cache Transactions,HP Instructions(Half),Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",50,1847,10,0,0,25,0,0,0,0,0,0,0,0,4000000,1,0,17000000,0,0,0,0,2058,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",20,1897,8,0,0,47.368,0,0,0,0,0,0,0,0,151000000,19,0,320000000,0,0,0,0,1148,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>, thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>(thrust::device_ptr<long>, long)",10,2076,19,0,0,100,0,0,0,0,0,0,0,0,1925000000,125,0,1925000000,0,0,0,0,12816,0,0,0,0,0,0
"void kernelPointwiseApply2<CopyOp<long, unsigned char>, long, unsigned char, unsigned int, int=1, int=1>(OffsetInfo<unsigned char, long, unsigned char>, OffsetInfo<CopyOp<long, unsigned char>, long, unsigned int>, long, long)",10,2118,8,0,0,100,126,0,0,0,74.603,0,32,471000000,3775000000,250,1902000000,3775000000,25,0,0,0,20096,0,0,0,0,0,24.802
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",10,2161,8,0,0,100,376,0,0,0,96.809,0,12,521000000,5550000000,375,5565000000,5550000000,65.631,0,0,0,99288,0,0,0,0,0,9.375
"void kernelPointwiseApply2<TensorMulConstantOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorMulConstantOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",20,2172,14,0,0,100,252,0,0,0,0,0,250,3682000000,3682000000,250,3682000000,3682000000,0,0,0,0,34096,0,0,0,0,0,100
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",10,2234,10,0,0,97.656,504,0,0,0,0,0,500,7160000000,447000000,32,7160000000,457000000,15.016,0,0,0,27096,0,0,0,0,0,100
"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",20,2411,23,0,0,100,252,0,0,0,0,0,250,3316000000,3316000000,250,3316000000,3316000000,0,0,1000,0,52096,0,0,0,0,0,100
"void kernelPointwiseApply2<TensorTakeOp<long, int, int=-2>, long, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorTakeOp<long, int, int=-2>, long>, OffsetInfo<int=-2, TensorTakeOp<long, int, int=-2>, long>, TensorTakeOp<long, int, int=-2>, long)",10,2475,32,0,0,100,378,0,0,0,29.067,0,532,4847000000,3231000000,250,6876000000,3231000000,21.8,0,0,0,32096,0,0,0,0,0,70.489
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",10,3291,18,6528,0,37.5,1000,0,0,0,40,0,750,3644000000,3644000000,1000,7290000000,9720000000,46.154,29.172,36000,0,432064,8048,12000,0,466613000000,312941000000,50
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceAdd<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",10,3994,28,0,8192,25,252,0,0,0,0,0,250,2002000000,1000000,1,2002000000,7000000,0,81.722,1024,0,36815,66,93,0,2979000000,2114000000,100
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",20,4430,17,0,8192,25,252,0,0,0,0,0,250,1805000000,1000000,1,1805000000,7000000,0,81.722,1024,0,37805,66,93,0,2686000000,1906000000,100
"void kernelReduceAll<long, unsigned int, long, thrust::identity<long>, ReduceMax<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",20,4477,17,0,8192,25,252,0,0,0,0,0,250,1786000000,1000000,1,1786000000,6000000,0,81.722,1024,0,37805,66,93,0,2658000000,1886000000,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",20,4600,32,0,0,99.985,4932,0,0,0,0,0,4930,34285000000,34285000000,4930,34290000000,34290000000,0,0,39434,0,1899014,0,0,0,0,0,99.985
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",20,6004,72,0,4112,76.095,3046,0,0,0,63.737,0,1283,5144000000,1435000000,354,16661000000,1886000000,59.69,62.693,0,0,457160,2497,3961,0,84437000000,53228000000,30.879
"sgemm_32x32x32_NT_vec",10,14973,153,16912,0,30,73192,0,0,34123776,20.76,0,69590,147190000000,800000000,1250,187527000000,2670000000,20.383,158.154,17313792,0,1486848,41472,78848,0,674013000000,354513000000,78.49
